date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2021-10-25,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.92,medium,1,0.164945,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}","{""dev_pct"": -4.056385999499135, ""pct_rank"": 0.016, ""window"": 250.0, ""span"": 80.0}"
2021-10-25,KZT,seasonality,"seasonality(from_day=24,min_share=0.5,min_years=3,rearm=20)",BUY_NOW,down,0.6666666666666666,slow,1,0.164945,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.1291}","{""k_years"": 4.0, ""n_years"": 6.0, ""target_month"": 11.0}"
2021-10-27,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,0.9266368187529906,slow,1,0.163586,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 0.37065472750119627, ""min_rate"": 69.5526, ""days_since_min"": 1.0, ""window"": 60.0}"
2021-10-28,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.56,medium,1,0.164941,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}","{""dev_pct"": -3.3191719215723725, ""pct_rank"": 0.088, ""window"": 250.0, ""span"": 80.0}"
2021-10-28,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.0067552297529332546,medium,1,0.164941,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.0067552297529332546, ""pct_rank"": 0.03333333333333333, ""window"": 120.0}"
2021-10-29,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.8333333333333334,medium,1,0.16494,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.03333333333333333, ""window"": 120.0, ""days_since_min"": 3.0}"
2021-11-01,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.166031,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 2.2050936988696312, ""min_rate"": 69.5526, ""days_since_min"": 4.0, ""window"": 60.0}"
2021-11-03,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.41666666666666674,medium,1,0.166852,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.11666666666666667, ""window"": 120.0, ""days_since_min"": 6.0}"
2021-11-08,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.0017576165164151062,medium,1,0.166292,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.0017576165164151062, ""pct_rank"": 0.10833333333333334, ""window"": 120.0}"
2021-11-08,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.166292,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 2.6525248516949596, ""min_rate"": 69.5526, ""days_since_min"": 7.0, ""window"": 60.0}"
2021-11-09,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.165995,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.2811676430597654}"
2021-11-10,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.10000000000000009,medium,1,0.164867,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}","{""dev_pct"": -2.712361672902208, ""pct_rank"": 0.18, ""window"": 250.0, ""span"": 80.0}"
