currency,step,period,n,mae_model_bps,mae_naive_bps,mae_ratio,dir_accuracy,dir_majority,share_forecast_up,share_realized_up,coverage_10_90,mean_forecast_bps,mean_realized_bps
AMD,20,до среза,1457,420.74107243050406,419.3255882569526,1.0033756207901248,0.4474948524365134,0.5559368565545642,0.4248455730954015,0.5559368565545642,0.7865477007549759,-40.42721002059025,112.25807214346912
AMD,20,после среза,659,372.9454228645496,332.6919232454563,1.1209933178612055,0.45220030349013657,0.5144157814871017,0.5386949924127465,0.48558421851289835,0.7890743550834598,31.935604552352046,16.246311334157458
KGS,1,все,2135,71.79428767951798,72.28313368162041,0.9932370668342132,0.5555035128805621,0.5086651053864168,0.5016393442622951,0.5086651053864168,0.7882903981264637,-0.8132705386416859,1.6678812071597102
KGS,1,до среза,1457,76.54042277673254,76.84552388432395,0.9960296827691528,0.55044612216884,0.515442690459849,0.5284831846259437,0.515442690459849,0.7920384351407,-0.2525720658888126,2.33870615920508
KGS,1,после среза,678,61.594997359987566,62.47870517817048,0.9858558557565679,0.5663716814159292,0.5058997050147492,0.443952802359882,0.4941002949852507,0.7802359882005899,-2.0181933628318585,0.22630015239554468
KGS,5,все,2131,181.1186227433298,180.7388374104193,1.002101293437271,0.5354293758798686,0.5068043172219615,0.5274519005161896,0.5068043172219615,0.7841389019239794,-3.036168183951197,8.531312421057304
KGS,5,до среза,1457,190.911614143088,190.86749477276956,1.0002311518279787,0.5360329444063143,0.5051475634866164,0.5682910089224433,0.5051475634866164,0.7783115991763898,-2.5679343857240897,12.675972564951
KGS,5,после среза,674,159.94890691328874,158.84350539714882,1.0069590601981249,0.5341246290801187,0.5103857566765578,0.4391691394658754,0.5103857566765578,0.7967359050445104,-4.048359050445104,-0.42828673273070117
KGS,10,все,2126,252.85832919453338,255.85801389857448,0.9882759790935053,0.5239887111947319,0.5004703668861712,0.5277516462841016,0.5004703668861712,0.7892756349952963,-5.149174647224835,15.852926593951244
KGS,10,до среза,1457,267.50685325937087,271.8632407223696,0.9839758127968189,0.5216197666437886,0.5099519560741249,0.5655456417295813,0.5099519560741249,0.7748798901853123,-4.683522992450239,24.445223698395058
KGS,10,после среза,669,220.95563926558245,221.00059165302983,0.9997965960764578,0.5291479820627802,0.5201793721973094,0.445440956651719,0.4798206278026906,0.820627802690583,-6.16330687593423,-2.8600433330661548
KGS,20,все,2116,347.9036887020022,351.15098844316157,0.990752411788569,0.497164461247637,0.5160680529300568,0.5085066162570888,0.5160680529300568,0.774102079395085,-8.172057514177691,28.696532712834934
KGS,20,до среза,1457,353.8572148922708,360.2280386308024,0.9823144701263494,0.4982841455044612,0.5250514756348662,0.546328071379547,0.5250514756348662,0.7604667124227865,-6.299545367192866,45.59723690875238
KGS,20,после среза,659,334.74088497025525,331.0823054031121,1.011050362726841,0.4946889226100152,0.503793626707132,0.424886191198786,0.496206373292868,0.8042488619119879,-12.312042640364188,-8.66966761106751
KZT,1,все,2135,69.77852089176992,69.86107277370412,0.9988183421946352,0.5229615745079662,0.5049180327868853,0.5259953161592505,0.49461358313817333,0.790632318501171,-0.09984318501170956,1.1039280235679416
KZT,1,до среза,1457,67.72499434338386,67.59276258613153,1.0019563005297176,0.5288461538461539,0.515442690459849,0.5326012354152367,0.4838709677419355,0.7899794097460535,-0.5747407000686341,1.5820265309682469
KZT,1,после среза,678,74.19148281064676,74.73559776381221,0.9927194674365887,0.5103244837758112,0.5176991150442478,0.5117994100294986,0.5176991150442478,0.7920353982300885,0.9206961651917404,0.0765098446855742
KZT,5,все,2131,172.7215558275989,172.00317367468503,1.004176563359654,0.5180666353824496,0.5058657907085875,0.4523697794462694,0.4941342092914125,0.8024401689347724,-4.362548193336462,5.6551263691519935
KZT,5,до среза,1457,172.4822583661802,173.0141984691812,0.9969254540511265,0.5353466026080989,0.5092656142759094,0.45847632120796156,0.4907343857240906,0.790665751544269,-5.766520384351406,9.082711150649537
KZT,5,после среза,674,173.23885019152632,169.81762007590027,1.0201464966597513,0.4807121661721068,0.5014836795252225,0.4391691394658754,0.5014836795252225,0.827893175074184,-1.3275519287833824,-1.754355866221783
KZT,10,все,2126,244.8759467677329,244.43444826906426,1.0018062040837332,0.5117591721542804,0.5079962370649106,0.4205079962370649,0.5079962370649106,0.8024459078080903,-7.095416133584196,10.530281841463584
KZT,10,до среза,1457,244.52367940481398,245.68537992127244,0.9952715928117875,0.5209334248455731,0.5085792724776939,0.4234728894989705,0.5085792724776939,0.7934111187371311,-9.323381743308166,17.834350491315867
KZT,10,после среза,669,245.64314190640684,241.71007245850026,1.0162718475399153,0.49177877428998507,0.5067264573991032,0.414050822122571,0.5067264573991032,0.8221225710014948,-2.2431801195814676,-5.377084410905276
KZT,20,все,2116,342.08656227549744,342.19452185220746,0.9996845081676771,0.5479905437352246,0.5099243856332704,0.40406427221172025,0.4896030245746692,0.7887523629489603,-11.01329215500945,18.12328955427832
KZT,20,до среза,1457,327.72375200803594,332.13328163292294,0.9867236140768318,0.5545641729581332,0.5024021962937543,0.41455044612216885,0.49759780370624573,0.7989018531228552,-11.43515051475635,33.502228837283965
KZT,20,после среза,659,373.84166782889866,364.4391758726893,1.0257998935863415,0.5334346504559271,0.5265553869499241,0.38088012139605465,0.47192716236722304,0.7663125948406677,-10.080594688922604,-15.878401698133276
TJS,1,все,2135,73.49565814648592,73.34599537335168,1.002040503675387,0.5464352720450282,0.5175644028103045,0.49789227166276345,0.5175644028103045,0.7901639344262295,-1.2802759718969554,2.6737212380130746
TJS,1,до среза,1457,77.78158278129148,77.23103382332499,1.0071285975431319,0.5367697594501718,0.5147563486616334,0.5058339052848319,0.5147563486616334,0.7961564859299931,-1.274672203157172,2.7726714745963013
TJS,1,после среза,678,64.28534517758963,64.99717380755364,0.9890483141302172,0.5672082717872969,0.523598820058997,0.4808259587020649,0.523598820058997,0.7772861356932154,-1.2923182890855458,2.461080390370361
TJS,5,все,2131,192.75922882430524,189.0804859264478,1.019455962786601,0.5133740028155795,0.5138432660722665,0.5021116846550915,0.5138432660722665,0.7860159549507274,-5.191130079774754,13.613096237925824
TJS,5,до среза,1457,204.44638417536245,199.5069645810667,1.0247581311492946,0.5024021962937543,0.5017158544955388,0.4921070693205216,0.4982841455044612,0.7796842827728209,-7.610135621139327,14.937560891100194
TJS,5,после среза,674,167.49485887402287,166.54134735110705,1.0057253741373042,0.5370919881305638,0.5474777448071216,0.5237388724035609,0.5474777448071216,0.7997032640949555,0.03808516320474709,10.749973093007323
TJS,10,все,2126,282.0156054978546,277.17428085191324,1.0174667167208344,0.4896519285042333,0.5103480714957667,0.5136406396989652,0.5103480714957667,0.7920978363123237,-10.115340968955785,27.892351329131177
TJS,10,до среза,1457,305.4097366277677,298.4028092301273,1.0234814391182112,0.4852436513383665,0.5017158544955388,0.5072065888812629,0.5017158544955388,0.7707618393960192,-14.000382772820863,31.67311787538911
TJS,10,после среза,669,231.0660553389857,230.94114804614688,1.0005408620070333,0.4992526158445441,0.5291479820627802,0.5276532137518685,0.5291479820627802,0.8385650224215246,-1.6541961136023917,19.6583052037234
