threshold_bps,gated,corridor,split,window,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
0.0,False,KGS,1,2021-07…2021-12,20,25.0,13,13,0.07692307692307693,0.16279069767441862,0.4725274725274725,,,0.6153846153846154,0.5348837209302325,1.1505016722408028,14.902653776619822,25.66914672872073,-10.766492952100908,,,,,,,50.58286476249294,8.288137324967353,0.4945652173913044,0.0,0.4652153398567251,51.0,0.16666666666666666
0.0,False,KGS,2,2022-01…2022-06,20,25.0,11,11,0.0,0.10256410256410256,0.0,,,0.18181818181818182,0.39316239316239315,0.46245059288537554,-397.7519687723811,-134.33666686632213,-263.41530190605897,,,,,,,202.26724384743994,-143.5741558636165,0.42541436464088395,0.0,0.36001056927277764,78.0,0.3333333333333333
0.0,False,KGS,3,2022-07…2022-12,20,25.0,24,24,0.2916666666666667,0.2846153846153846,1.0247747747747749,,,0.5,0.5769230769230769,0.8666666666666667,89.41013637687665,92.68431984896502,-3.2741834720883674,,,,,,,-1.9633315873567436,70.84848349385082,0.9130434782608696,0.0,0.1839893141031169,13.0,0.0
0.0,False,KGS,4,2023-01…2023-06,20,25.0,21,21,0.5238095238095238,0.5508474576271186,0.950915750915751,,,0.8571428571428571,0.8389830508474576,1.0216450216450217,249.63756314048175,231.7318649254994,17.90569821498235,,,,,,,32.13081949381662,126.20399782255438,0.8121546961325967,0.0,0.2143673500516708,17.0,0.0
0.0,False,KGS,5,2023-07…2023-12,20,25.0,20,20,0.15,0.20155038759689922,0.7442307692307693,,,0.55,0.5271317829457365,1.0433823529411765,-61.41512512557879,-26.704775666556326,-34.71034945902247,,,,,,,-62.07379087055019,-26.079601492962944,0.7608695652173914,0.0,0.38459935864047756,20.0,0.0
0.0,False,KGS,6,2024-01…2024-06,20,25.0,18,18,0.2222222222222222,0.23931623931623933,0.9285714285714285,,,0.5,0.5726495726495726,0.873134328358209,-26.43761041488058,31.12319280205631,-57.56080321693689,,,,,,,-26.11821017977411,-7.771461945470886,0.6923076923076923,0.0,0.34205571840863164,20.0,0.0
0.0,False,KGS,7,2024-07…2024-12,20,25.0,17,17,0.4117647058823529,0.3282442748091603,1.2544459644322845,,,0.7647058823529411,0.7557251908396947,1.0118835412953058,143.08369738734694,99.54663906237663,43.53705832497032,,,,,,,35.40495214495352,113.07680094024752,0.6467391304347826,0.0,0.6234355419768751,31.0,0.0
0.0,False,KGS,8,2025-01…2025-06,20,25.0,7,7,0.0,0.02564102564102564,0.0,,,0.0,0.15384615384615385,0.0,-399.7241551578031,-221.43511533665657,-178.28903982114656,,,,,,,-12.05367800917845,-213.29809887889732,0.27071823204419887,0.0,0.13153341044116407,119.0,0.5
0.0,False,KGS,9,2025-07…2025-12,20,25.0,19,19,0.15789473684210525,0.2076923076923077,0.7602339181286549,,,0.47368421052631576,0.5230769230769231,0.9055727554179566,-30.739159387565234,-6.366992636140395,-24.37216675142484,,,,,,,-0.8649848447205176,12.671440155100731,0.7228260869565217,0.0,0.13300340727798907,44.0,0.16666666666666666
0.0,False,KGS,10,2026-01…2026-06,20,25.0,15,15,0.2,0.23931623931623933,0.8357142857142857,,,0.4,0.5384615384615384,0.7428571428571429,-47.61613616979903,5.753419433060342,-53.36955560285937,,,,,,,-6.193814046664861,-28.81928310261712,0.580110497237569,0.0,0.588819003540172,29.0,0.0
0.0,True,KGS,0,2021-01…2021-06,20,25.0,13,13,0.15384615384615385,0.1440677966101695,1.0678733031674208,,,0.5384615384615384,0.5,1.0769230769230769,41.267126582245496,-8.151508733265231,49.41863531551073,,,,,,,67.61899875885833,8.78501297252822,0.5027624309392265,0.0,1.0645613257706343,61.0,0.16666666666666666
0.0,True,KGS,1,2021-07…2021-12,20,25.0,13,13,0.15384615384615385,0.16279069767441862,0.945054945054945,,,0.6153846153846154,0.5348837209302325,1.1505016722408028,26.522265708126632,25.66914672872073,0.8531189794059024,,,,,,,54.003163394156225,23.556220703523447,0.4945652173913044,0.0,0.7331408265547661,51.0,0.16666666666666666
0.0,True,KGS,2,2022-01…2022-06,20,25.0,10,10,0.0,0.10256410256410256,0.0,,,0.4,0.39316239316239315,1.0173913043478262,-123.75222145590006,-134.33666686632213,10.584445410422077,,,,,,,434.9217584780687,45.171480090189014,0.3867403314917127,0.0,0.4269323961881042,87.0,0.5
0.0,True,KGS,3,2022-07…2022-12,20,25.0,6,6,0.5,0.2846153846153846,1.7567567567567568,,,0.8333333333333334,0.5769230769230769,1.4444444444444446,305.38271649236873,92.68431984896502,212.69839664340373,,,,,,,229.7198544840595,84.8121967233258,0.2282608695652174,0.0,0.9233374165911001,65.0,0.5
0.0,True,KGS,4,2023-01…2023-06,20,25.0,0,0,,0.5508474576271186,,,,,0.8389830508474576,,,231.7318649254994,,,,,,,,,,0.0,,,172.0,1.0
0.0,True,KGS,5,2023-07…2023-12,20,25.0,2,2,0.5,0.20155038759689922,2.480769230769231,,,1.0,0.5271317829457365,1.8970588235294117,132.65659262281181,-26.704775666556326,159.36136828936813,,,,,,,126.08156630490309,118.72786679796855,0.07608695652173914,0.0,0.0,144.0,0.6666666666666666
0.0,True,KGS,6,2024-01…2024-06,20,25.0,4,4,0.75,0.23931623931623933,3.133928571428571,,,0.75,0.5726495726495726,1.3097014925373136,327.75468783953625,31.12319280205631,296.6314950374799,,,,,,,316.5736577511208,255.06507770763938,0.15384615384615385,0.0,1.0840657211224165,146.0,0.6666666666666666
0.0,True,KGS,7,2024-07…2024-12,20,25.0,1,1,1.0,0.3282442748091603,3.046511627906977,,,1.0,0.7557251908396947,1.323232323232323,484.6756063108071,99.54663906237663,385.12896724843046,,,,,,,359.6258679346631,477.38893420607553,0.03804347826086957,0.0,,145.0,0.8333333333333334
0.0,True,KGS,8,2025-01…2025-06,20,25.0,3,3,0.0,0.02564102564102564,0.0,,,0.0,0.15384615384615385,0.0,-251.81248067688475,-221.43511533665657,-30.37736534022818,,,,,,,191.86118792795085,-85.09779109717692,0.11602209944751381,0.0,0.16666666666666666,119.0,0.6666666666666666
0.0,True,KGS,9,2025-07…2025-12,20,25.0,5,5,0.0,0.2076923076923077,0.0,,,0.6,0.5230769230769231,1.1470588235294117,-21.808517132851925,-6.366992636140395,-15.44152449671153,,,,,,,56.02330657365883,26.83627700264135,0.19021739130434784,0.0,0.28867513459481287,148.0,0.6666666666666666
0.0,True,KGS,10,2026-01…2026-06,20,25.0,10,10,0.3,0.23931623931623933,1.2535714285714286,,,0.5,0.5384615384615384,0.9285714285714286,30.32465874181255,5.753419433060342,24.571239308752205,,,,,,,90.96385415325435,-1.474455005472612,0.3867403314917127,0.0,0.7051284679114795,39.0,0.0
25.0,False,KGS,0,2021-01…2021-06,20,25.0,11,11,0.18181818181818182,0.1440677966101695,1.2620320855614973,,,0.7272727272727273,0.5,1.4545454545454546,69.14303851648536,-8.151508733265231,77.2945472497506,,,,,,,109.68835515405858,-3.593572739637149,0.42541436464088395,0.0,0.8212076729425675,42.0,0.0
25.0,False,KGS,1,2021-07…2021-12,20,25.0,1,1,0.0,0.16279069767441862,0.0,,,1.0,0.5348837209302325,1.8695652173913044,239.4278998002375,25.66914672872073,213.75875307151676,,,,,,,248.91775938707727,133.3151146086764,0.03804347826086957,0.0,,116.0,0.8333333333333334
