date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2025-01-20,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.0,medium,8,0.255764,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -1.5351115908004087, ""pct_rank"": 0.1, ""window"": 120.0, ""span"": 40.0}",muted,
2025-01-20,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,8,0.255764,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -1.643605934517267}",sent,BUY_NOW
2025-01-27,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.9166666666666666,medium,8,0.24383,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -5.655768920670168, ""pct_rank"": 0.008333333333333333, ""window"": 120.0, ""span"": 40.0}",muted,
2025-02-06,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.2500000000000001,medium,8,0.244211,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -3.789534707238562, ""pct_rank"": 0.075, ""window"": 120.0, ""span"": 40.0}",muted,
2025-02-12,AMD,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.20359330415927337,medium,8,0.237161,"{""threshold"": 0.0005, ""_fitted"": true}","{""proba"": 0.20359330415927337, ""pct_rank"": 0.19166666666666668, ""window"": 120.0}",sent,BUY_NOW
2025-02-13,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.9166666666666666,medium,8,0.229633,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -8.906555762319945, ""pct_rank"": 0.008333333333333333, ""window"": 120.0, ""span"": 40.0}",muted,
2025-02-13,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.75,medium,8,0.229633,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.025, ""window"": 120.0, ""days_since_min"": 110.0}",cooldown,
2025-02-13,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,8,0.229633,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -6.339527523085453}",thinned,
2025-02-17,AMD,reversal,"reversal(max_days_since_min=10,rearm=5,rise_bps=50,window=120)",WINDOW_CLOSING,up,1.0,slow,8,0.230669,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""rise_pct"": 1.2763323117991776, ""min_rate"": 0.227762, ""days_since_min"": 1.0, ""window"": 120.0}",cooldown,
2025-02-19,AMD,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.15311271591886824,medium,8,0.228512,"{""threshold"": 0.0005, ""_fitted"": true}","{""proba"": 0.15311271591886824, ""pct_rank"": 0.016666666666666666, ""window"": 120.0}",sent,BUY_NOW
2025-02-20,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.9166666666666666,medium,8,0.223901,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -9.666507907978051, ""pct_rank"": 0.008333333333333333, ""window"": 120.0, ""span"": 40.0}",muted,
2025-02-20,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.9166666666666666,medium,8,0.223901,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.008333333333333333, ""window"": 120.0, ""days_since_min"": 0.0}",cooldown,
2025-02-21,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,8,0.223543,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -3.089275108488798}",cooldown,
