corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,level,9,2025-07…2025-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,9,2025-07…2025-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,9,2025-07…2025-12,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,9,2025-07…2025-12,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,9,2025-07…2025-12,"{""threshold"": 0.0014, ""_fitted"": true}",,,True
TJS,momentum,10,2026-01…2026-06,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,10,2026-01…2026-06,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,10,2026-01…2026-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,10,2026-01…2026-06,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,10,2026-01…2026-06,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,10,2026-01…2026-06,"{""threshold"": 0.0269, ""_fitted"": true}",,,True
