announce_date,from_date,to_date,direction,rub_per_day_bln,source_url,verified,note
2022-09-05,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=38078-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-10-05,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=38151-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-11-03,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=38211-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-12-05,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=38282-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2023-01-11,2023-01-13,2023-02-06,sell,3.20,https://minfin.gov.ru/ru/press-center/?id_4=38332-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-02-03,2023-02-07,2023-03-06,sell,8.90,https://minfin.gov.ru/ru/press-center/?id_4=38364-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-03-03,2023-03-07,2023-04-06,sell,5.40,https://minfin.gov.ru/ru/press-center/?id_4=38393-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-04-05,2023-04-07,2023-05-05,sell,3.70,https://minfin.gov.ru/ru/press-center/?id_4=38438-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-05-04,2023-05-10,2023-06-06,sell,2.00,https://minfin.gov.ru/ru/press-center/?id_4=38471-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-06-05,2023-06-07,2023-07-06,sell,3.60,https://minfin.gov.ru/ru/press-center/?id_4=38516-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-07-05,2023-07-07,2023-08-04,sell,1.70,https://minfin.gov.ru/ru/press-center/?id_4=38578-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2023-08-03,2023-08-07,2023-09-06,buy,1.80,https://minfin.gov.ru/ru/press-center/?id_4=38622-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2023-09-05,2023-09-07,2023-10-05,buy,13.15,https://minfin.gov.ru/ru/press-center/?id_4=38644-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2023-10-04,2023-10-06,2023-11-07,buy,18.12,https://minfin.gov.ru/ru/press-center/?id_4=38695-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
