country,date,name,kind,movable,source,verified
AM,2018-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-01-03,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2018-01-04,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2018-01-05,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2018-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-01-07,День поминовения усопших,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2018-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-04-24,День памяти жертв геноцида армян,other,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-05-01,День труда,labour,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-05-09,День победы и мира,victory,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-05-28,День Первой Республики,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-07-05,День Конституции,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-09-21,День независимости,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2018-12-31,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-01-01,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-01-02,Новый год,newyear,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-01-03,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2019-01-04,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2019-01-05,Предрождественские праздники,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2019-01-06,Святое Рождество и Богоявление,religious,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-01-07,День поминовения усопших,religious,no,https://www.arlis.am/hy/acts/55446,primary
AM,2019-01-28,День армии,national,no,https://www.arlis.am/hy/acts/228539,primary
AM,2019-03-08,Международный женский день,womens,no,https://www.arlis.am/hy/acts/228539,primary
