corridor,family,persona,strategy,label,windows,months,benefit_vs_habit_bps,benefit_vs_habit_ci_lo,benefit_vs_habit_ci_hi,benefit_vs_random_bps,benefit_vs_random_ci_lo,benefit_vs_random_ci_hi,oracle_share,share_shifted,benefit_when_shifted_bps,benefit_when_shifted_ci_lo,benefit_when_shifted_ci_hi,regret_share,not_worse_share,mean_day,rub_per_transfer
KGS,accelerate,a05_h20,push_or_calendar,"первый пуш, иначе календарь, иначе срок",66,66,-41.727078473529396,-103.52358684841357,20.791383612514792,-11.833724529316173,-49.990645588914866,29.611381729535584,-0.05219329020167056,0.48484848484848486,-86.06209935165437,-208.21557688554532,41.867313214667874,0.24242424242424243,0.7575757575757576,6.681818181818182,-125.1812354205882
KGS,accelerate,a05_h20,oracle,оракул: лучший день окна,66,66,194.6323244253599,141.4165280068935,258.6526065516073,226.72884739765666,173.6679981459776,291.5028014277522,1.0,0.8333333333333334,233.55878931043185,171.0665718069944,307.2312443561365,0.0,1.0,4.893939393939394,583.8969732760797
KGS,accelerate,a05_h25,habit,привычка: первый день окна,66,66,0.0,0.0,0.0,64.11317844432405,-5.260449647087797,135.44926836906166,0.234853732564864,0.0,,,,0.0,1.0,13.545454545454545,0.0
KGS,accelerate,a05_h25,deadline,ждать до срока,66,66,0.0,0.0,0.0,64.11317844432405,-5.260449647087797,135.44926836906166,0.234853732564864,0.0,,,,0.0,1.0,13.545454545454545,0.0
KGS,accelerate,a05_h25,random,случайный день окна,66,66,-55.96109439936527,-124.3889231493765,11.924160036869726,0.0,0.0,0.0,0.0,,,,,0.5757575757575758,0.42424242424242425,,-167.88328319809582
KGS,accelerate,a05_h25,calendar25,"календарь: первый день с 25-го, иначе срок",66,66,0.0,0.0,0.0,64.11317844432405,-5.260449647087797,135.44926836906166,0.234853732564864,0.0,,,,0.0,1.0,13.545454545454545,0.0
KGS,accelerate,a05_h25,screen,"экран: первый день с фактом уровня, иначе срок",66,66,-60.51060114894307,-136.58375327144992,10.020545256500485,-1.3083830668565226,-71.44795394969339,73.89844596976744,-0.004792753289290741,0.5,-121.02120229788616,-274.458901827129,17.244386044771048,0.2727272727272727,0.7272727272727273,7.681818181818182,-181.5318034468292
KGS,accelerate,a05_h25,push,"первый пуш потока, иначе срок",66,66,-45.36165689129478,-123.56465607904796,31.608680248457535,11.756969707413615,-39.05945958702953,68.69046586024962,0.04306709301327068,0.6515151515151515,-69.62486871687105,-180.0622887682524,52.94750694595585,0.3939393939393939,0.6060606060606061,8.257575757575758,-136.08497067388433
KGS,accelerate,a05_h25,push_or_calendar,"первый пуш, иначе календарь, иначе срок",66,66,-45.36165689129478,-123.56465607904796,31.608680248457535,11.756969707413615,-39.05945958702953,68.69046586024962,0.04306709301327068,0.6515151515151515,-69.62486871687105,-180.0622887682524,52.94750694595585,0.3939393939393939,0.6060606060606061,8.257575757575758,-136.08497067388433
KGS,accelerate,a05_h25,oracle,оракул: лучший день окна,66,66,211.88059861105617,151.6691355554711,279.9138025483709,272.99195011353163,217.61826509753914,340.3336585131558,1.0,0.8181818181818182,258.96517608017973,191.1577525797184,329.1298290659221,0.0,1.0,6.4393939393939394,635.6417958331684
