corridor,asset,anchor_hour,group,n,evening_fact_share,gate_survival_T1,n_scored,hit_mean,benefit_fwd_bps,share_positive,n_scored_evening,hit_mean_evening,benefit_fwd_evening_bps,est_n,est_corr,est_mae_bps,est_sign_share,move_mean_abs_bps
TJS,USD,15,все пуши,147,,0.9516129032258065,147,0.5306122448979592,36.57555865458744,0.47619047619047616,147,0.5374149659863946,44.64372044141658,1395,0.42617209090344343,71.62085804458957,0.6602150537634408,39.62702679606021
TJS,USD,15,факт на T,62,0.9354838709677419,0.9516129032258065,62,0.5806451612903226,25.175694329250742,0.532258064516129,62,0.6290322580645161,43.481947759037276,1395,0.42617209090344343,71.62085804458957,0.6602150537634408,39.62702679606021
TJS,USD,15,прошли гейт,58,,1.0,58,0.5689655172413793,25.235261415683027,0.5344827586206896,58,0.6379310344827587,49.40317297012788,1395,0.42617209090344343,71.62085804458957,0.6602150537634408,39.62702679606021
TJS,USD,15,сняты гейтом,4,,0.25,4,0.75,24.31197157598264,0.5,4,0.5,-42.37581780177635,1395,0.42617209090344343,71.62085804458957,0.6602150537634408,39.62702679606021
UZS,USD,15,все пуши,111,,0.9367088607594937,111,0.4864864864864865,-16.40164481622394,0.4144144144144144,111,0.45045045045045046,-15.737505918334207,1395,0.4302932231715928,69.67798810996754,0.6523297491039427,39.62702679606021
UZS,USD,15,факт на T,79,0.9367088607594937,0.9367088607594937,79,0.5063291139240507,10.545798035962981,0.43037974683544306,79,0.4810126582278481,9.021527804896671,1395,0.4302932231715928,69.67798810996754,0.6523297491039427,39.62702679606021
UZS,USD,15,прошли гейт,74,,0.972972972972973,74,0.4864864864864865,-0.7183002869485758,0.43243243243243246,74,0.4864864864864865,5.376883291427091,1395,0.4302932231715928,69.67798810996754,0.6523297491039427,39.62702679606021
UZS,USD,15,сняты гейтом,5,,0.4,5,0.8,177.25445321505396,0.4,5,0.4,62.96226660424643,1395,0.4302932231715928,69.67798810996754,0.6523297491039427,39.62702679606021
all,USD,15,все пуши,645,,0.927710843373494,645,0.5317829457364341,28.895086607014534,0.4806201550387597,645,0.5333333333333333,33.900595992398735,6975,0.4118151498425421,71.27556030004081,0.6551971326164875,39.62702679606021
all,USD,15,факт на T,332,0.9548192771084337,0.927710843373494,332,0.5512048192771084,16.226286980464543,0.4939759036144578,332,0.5632530120481928,29.330744078479334,6975,0.4118151498425421,71.27556030004081,0.6551971326164875,39.62702679606021
all,USD,15,прошли гейт,317,,0.9589905362776026,317,0.5425867507886435,11.014934663520012,0.4921135646687697,317,0.5646687697160884,29.48562134875972,6975,0.4118151498425421,71.27556030004081,0.6551971326164875,39.62702679606021
all,USD,15,сняты гейтом,15,,0.26666666666666666,15,0.7333333333333333,126.35953261189232,0.5333333333333333,15,0.5333333333333333,26.05767109988714,6975,0.4118151498425421,71.27556030004081,0.6551971326164875,39.62702679606021
CNY,CNY,15,контроль оценки,1123,,,0,,,,0,,,1080,0.504622128565397,62.95899172864091,0.662962962962963,39.82263158764247
AMD,USD,14,все пуши,104,,0.9782608695652174,104,0.6153846153846154,78.86919444922488,0.5576923076923077,104,0.5865384615384616,67.5291652248528,1395,0.4484311929782017,68.66927270521744,0.6602150537634408,45.71475878999489
AMD,USD,14,факт на T,46,0.9782608695652174,0.9782608695652174,46,0.6304347826086957,80.46552255281331,0.5869565217391305,46,0.6086956521739131,91.98335813640105,1395,0.4484311929782017,68.66927270521744,0.6602150537634408,45.71475878999489
