corridor,source,spread_source,n,n_next,gate_fact_T,gate_fact_T1,gate_survival,own_fact_n,own_fact_T,own_fact_T1,own_survival,n_scored,benefit_fwd_bps,hit_mean,share_positive,benefit_fwd_exec_bps,hit_mean_exec,share_positive_exec,benefit_fwd_at_p90_spread_bps,spread_days,spread_mean_bps,spread_p90_dev_bps
KGS,level,CNY,115,115,0.7130434782608696,0.6956521739130435,0.9146341463414634,115,1.0,0.9217391304347826,0.9217391304347826,115,-11.512334217722444,0.4608695652173913,0.40869565217391307,-10.029010811162772,0.48770292965105433,0.44339740001244016,-84.82582163237375,1398,13.54913703554277,73.94069543891897
KGS,ml_localmin,CNY,63,63,1.0,0.8888888888888888,0.8888888888888888,63,1.0,0.8888888888888888,0.8888888888888888,63,-7.147747459863052,0.5396825396825397,0.47619047619047616,-5.663775897755255,0.5516043327202126,0.5047233008606399,-80.49327006212724,1398,13.54913703554277,73.94069543891897
KGS,momentum,CNY,139,139,0.4748201438848921,0.45323741007194246,0.9242424242424242,0,,,,139,-9.191320789267213,0.460431654676259,0.4460431654676259,-7.707652704547992,0.4929292617408219,0.4569528926215251,-82.52184397494507,1398,13.54913703554277,73.94069543891897
KGS,seasonality,CNY,29,29,0.3448275862068966,0.41379310344827586,1.0,0,,,,29,-4.358058154974187,0.4482758620689655,0.41379310344827586,-2.87367231479134,0.5192886389423315,0.47193034384095506,-77.72405651478927,1398,13.54913703554277,73.94069543891897
KGS,stream BUY_NOW,CNY,114,114,0.5964912280701754,0.5964912280701754,0.9264705882352942,78,1.0,0.9230769230769231,0.9230769230769231,114,21.0216305509765,0.5175438596491229,0.4473684210526316,22.50978535875167,0.5395803528850739,0.4936124287829732,-52.53064961152881,1398,13.54913703554277,73.94069543891897
KZT,dip_vs_trend,CNY,132,132,0.7121212121212122,0.7121212121212122,0.9361702127659575,132,1.0,0.8939393939393939,0.8939393939393939,132,-125.12937211927452,0.3939393939393939,0.3560606060606061,-123.66292121807729,0.4129654918281528,0.3798445831707634,-197.60893336241736,1398,13.54913703554277,73.94069543891897
KZT,dip_vs_trend,KZT,132,132,0.7121212121212122,0.7121212121212122,0.9361702127659575,132,1.0,0.8939393939393939,0.8939393939393939,132,-125.12937211927452,0.3939393939393939,0.3560606060606061,-121.81789806277922,0.4275081354289275,0.39624731703939625,-363.0865965283193,1313,91.5753708534269,246.92265505189798
KZT,level,CNY,157,157,0.7452229299363057,0.7133757961783439,0.905982905982906,157,1.0,0.9426751592356688,0.9426751592356688,157,-37.92018249689911,0.46496815286624205,0.40764331210191085,-36.44078074302402,0.4908422405073672,0.4442834622709421,-111.03984162470204,1398,13.54913703554277,73.94069543891897
KZT,level,KZT,157,157,0.7452229299363057,0.7133757961783439,0.905982905982906,157,1.0,0.9426751592356688,0.9426751592356688,157,-37.92018249689911,0.46496815286624205,0.40764331210191085,-34.579463402184565,0.502811182637127,0.4649633018176879,-277.97890853442203,1313,91.5753708534269,246.92265505189798
KZT,ml_localmin,CNY,56,56,1.0,0.9642857142857143,0.9642857142857143,56,1.0,0.9642857142857143,0.9642857142857143,56,-49.34887506640447,0.5,0.48214285714285715,-47.871170511120596,0.5150597792765175,0.49081596157776414,-122.38464989291015,1398,13.54913703554277,73.94069543891897
