source,corridor,regime,days,events,hit_mean,base_mean,lift_mean,lift_ci_lo,lift_ci_hi,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,verdict_benefit
level,KZT,sell,344,23,0.6956521739130435,0.7267441860465116,0.9572173913043479,0.5378739130434783,1.3760000000000001,78.39728396433938,146.1957032436499,-67.79841927931051,-201.30755837076785,74.479015345696,разницы нет
level,KZT,none,269,15,0.4,0.44609665427509293,0.8966666666666667,0.6593137254901961,1.4010416666666667,-237.05533602760525,-135.93968497824218,-101.11565104936307,-418.38394785263847,461.48317480268065,разницы нет
stream BUY_NOW,KZT,buy,740,102,0.4411764705882353,0.46216216216216216,0.9545923632610939,0.6707458727940796,1.2182460959175019,-0.15150252623733512,-9.801044913826093,9.649542387588763,-60.93755908723738,90.39171769768825,разницы нет
stream BUY_NOW,KZT,sell,344,43,0.7441860465116279,0.7267441860465116,1.024,0.7966315789473685,1.2326666666666668,167.56470700021598,146.1957032436499,21.369003756566105,-69.23755459874845,123.42971291956206,разницы нет
stream BUY_NOW,KZT,none,269,24,0.4583333333333333,0.44609665427509293,1.0274305555555556,0.5410146551724138,1.559663949275361,-112.80770562345468,-135.93968497824218,23.13197935478752,-224.7445476674814,288.98898569062743,разницы нет
level,all,buy,3700,384,0.4947916666666667,0.509399634009009,0.9713231687518566,0.7557301305837192,1.1969695983934585,,,-19.26234865438266,-82.37969698409081,47.1429311430654,разницы нет
level,all,sell,1720,124,0.661290322580645,0.6939000375093772,0.9530051690935504,0.643925774738792,1.2469587341007762,,,-66.67292636849322,-162.28045171396985,28.785771247280774,разницы нет
level,all,none,1345,115,0.4260869565217391,0.42589300145466297,1.0004554079696395,0.6490564681231042,1.4442262648700919,,,91.29508456470259,-98.1568230148084,303.438880732107,разницы нет
stream BUY_NOW,all,buy,3700,385,0.503896103896104,0.5150684450684451,0.9783090164437146,0.767060399432948,1.1789072243759184,,,-5.50802584161749,-82.57052089625692,88.88842004095368,разницы нет
stream BUY_NOW,all,sell,1720,136,0.6544117647058825,0.6983370383036936,0.9371001805882894,0.7296742163490276,1.1375247717603323,,,-18.894647250214593,-100.22420191879844,68.78453754893062,разницы нет
stream BUY_NOW,all,none,1345,124,0.4838709677419355,0.4308969900467682,1.1229388436652057,0.7298021195757081,1.534374306872055,,,101.39310830236194,-125.82068392955601,315.0357194778978,разницы нет
level,all,sell−buy,0,0,-0.01800174758638988,,,-0.25876364932111506,0.23153248098577447,,,-47.410577714110545,-164.40860458604493,71.66057466326404,разницы нет
level,all,none−buy,0,0,0.01480192240941845,,,-0.17473444265897778,0.2196635451838643,,,110.55743321908525,-100.9119507922057,327.1605903293946,разницы нет
stream BUY_NOW,all,sell−buy,0,0,-0.032752932425470054,,,-0.21882566861576583,0.1420658320650478,,,-13.386621408597104,-135.70995732520674,98.7319300746939,разницы нет
stream BUY_NOW,all,none−buy,0,0,0.06414631886750843,,,-0.12917816272347826,0.2773377675807194,,,106.90113414397942,-144.73016335166284,341.03335289437524,разницы нет
