indicator,corridor,source,transferred,split,window,params,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
momentum,UZS,KZT,True,2,2022-01…2022-06,"{""n"": 4, ""rearm"": 1}",20,25.0,25,25,0.08,0.1111111111111111,0.7200000000000001,,,0.32,0.41025641025641024,0.78,-521.2077694734016,-133.26289884507412,-387.9448706283275,,,,,,,145.64720492581446,-447.46071578755146,0.9668508287292817,0.6666666666666666,1.2995636824828185,34.0,0.16666666666666666
momentum,KGS,KZT,True,2,2022-01…2022-06,"{""n"": 4, ""rearm"": 1}",20,25.0,20,20,0.1,0.10256410256410256,0.9750000000000001,,,0.5,0.39316239316239315,1.2717391304347827,80.8763778758763,-134.33666686632213,215.21304474219843,,,,,,,495.1608130533177,23.60157658751454,0.7734806629834254,0.5789473684210527,1.1965959349026714,34.0,0.16666666666666666
momentum,AMD,KZT,True,2,2022-01…2022-06,"{""n"": 4, ""rearm"": 1}",20,25.0,18,18,0.1111111111111111,0.10256410256410256,1.0833333333333333,,,0.3333333333333333,0.42735042735042733,0.78,-145.09175687394332,-7.685668238494408,-137.40608863544892,,,,,,,487.1825792715269,-123.13507793693503,0.6961325966850829,0.7058823529411765,1.6319490961568142,43.0,0.3333333333333333
momentum,KZT,KZT,False,2,2022-01…2022-06,"{""n"": 4, ""rearm"": 1}",20,25.0,24,24,0.0,0.1111111111111111,0.0,,,0.25,0.38461538461538464,0.6499999999999999,-495.1897391768621,-253.47141149360772,-241.71832768325436,,,,,,,176.4679119329743,-469.10537075640383,0.9281767955801105,0.7391304347826086,1.5949410037852667,42.0,0.16666666666666666
level,TJS,KZT,True,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 3}",20,25.0,10,10,0.1,0.1452991452991453,0.6882352941176471,,,0.3,0.4700854700854701,0.6381818181818182,-327.15123338279085,-53.00503542290707,-274.1461979598838,,,,,,,672.5305455962427,-176.08420280623238,0.3867403314917127,0.7777777777777778,0.42824175819297167,80.0,0.5
level,UZS,KZT,True,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 3}",20,25.0,13,13,0.0,0.1111111111111111,0.0,,,0.38461538461538464,0.41025641025641024,0.9375000000000001,-225.6268622293808,-133.26289884507412,-92.36396338430669,,,,,,,502.26271246226196,-1.1364209460712993,0.5027624309392265,0.75,0.6434487888671672,87.0,0.5
level,KGS,KZT,True,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 3}",20,25.0,13,13,0.07692307692307693,0.10256410256410256,0.7500000000000001,,,0.5384615384615384,0.39316239316239315,1.3695652173913042,79.47454433981169,-134.33666686632213,213.8112112061338,,,,,,,641.0030931996024,172.43866736496778,0.5027624309392265,0.5833333333333334,0.7019077708762256,80.0,0.3333333333333333
level,AMD,KZT,True,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 3}",20,25.0,6,6,0.16666666666666666,0.10256410256410256,1.625,,,0.5,0.42735042735042733,1.1700000000000002,42.824148825537804,-7.685668238494408,50.50981706403221,,,,,,,581.3008278778634,198.03950152016228,0.23204419889502761,0.8,1.1891891891891893,114.0,0.6666666666666666
level,KZT,KZT,False,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 0, ""rearm"": 3}",20,25.0,14,14,0.0,0.1111111111111111,0.0,,,0.35714285714285715,0.38461538461538464,0.9285714285714285,-339.6144284989233,-253.47141149360772,-86.14301700531558,,,,,,,406.8211121815494,-80.25056269228044,0.5414364640883977,0.8461538461538461,0.6269150085221188,87.0,0.5
reversal,TJS,KZT,True,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3}",20,25.0,11,11,0.36363636363636365,0.4700854700854701,0.7735537190082645,,,0.36363636363636365,0.4700854700854701,0.7735537190082645,-325.74038899031837,-53.00503542290707,-272.73535356741127,,,,,,,134.52250544275932,-174.46962936661996,0.42541436464088395,0.8,0.6444294035799012,91.0,0.5
