indicator,corridor,windows,active_windows,events,lift_mean_median,lift_mean_pooled,benefit_excess_median_bps,benefit_excess_pooled_bps,freq_per_week_median,empty_month_share_median
holiday:k3:all,AMD,11,11,153,0.6398046398046398,0.728534383883796,-40.48616901154667,-100.78680381751563,0.6923076923076923,0.3333333333333333
holiday:k3:all,KGS,11,11,164,0.9285714285714286,0.803008378899355,-38.30042936069502,-58.36676940732158,0.46408839779005523,0.3333333333333333
holiday:k3:all,KZT,11,11,170,0.8280701754385965,0.7664175153661399,-68.21902650416601,-95.16215266671658,0.580110497237569,0.3333333333333333
holiday:k3:all,TJS,11,11,146,1.048888888888889,0.9000311754891821,6.77452738545162,-83.78046454242678,0.5414364640883977,0.3333333333333333
holiday:k3:all,UZS,11,11,149,0.7738095238095238,0.7855466728382081,-35.29343711344846,-95.15660199130382,0.4945652173913044,0.5
holiday:k3:fixed,AMD,11,11,153,0.6398046398046398,0.728534383883796,-40.48616901154667,-100.78680381751563,0.6923076923076923,0.3333333333333333
holiday:k3:fixed,KGS,11,11,136,0.9409888357256778,0.8145084277915882,-33.68237344297113,-61.84408002881494,0.34806629834254144,0.5
holiday:k3:fixed,KZT,11,11,152,0.8357142857142857,0.8203535081042358,14.633353298895116,-84.42610039593694,0.5414364640883977,0.5
holiday:k3:fixed,TJS,11,11,117,1.1578282828282829,0.9661417213460723,18.648963537305992,-62.74928832834987,0.46153846153846156,0.5
holiday:k3:fixed,UZS,11,11,115,0.7738095238095238,0.8204355558814493,-5.4969666825859385,-81.86010851731578,0.34806629834254144,0.6666666666666666
holiday:k3:major,AMD,11,5,30,0.7471264367816093,0.8346374761561457,-88.41239054608066,-39.96435258027686,0.0,1.0
holiday:k3:major,KGS,11,11,81,0.9285714285714286,0.8501659069923149,-25.257918881424757,-77.00156403527338,0.23204419889502761,0.6666666666666666
holiday:k3:major,KZT,11,11,66,1.0970464135021096,0.8418524376152575,-16.294182529818624,-67.75919798704012,0.23076923076923078,0.6666666666666666
holiday:k3:major,TJS,11,11,81,0.8783783783783784,0.7745699939223615,-6.286783454938774,-139.48821917526283,0.23204419889502761,0.6666666666666666
holiday:k3:major,UZS,11,11,84,0.7151515151515151,0.7160038476518902,-43.12853415578719,-133.92265939000058,0.266304347826087,0.6666666666666666
holiday:k5:all,AMD,11,11,250,0.7821969696969697,0.7587315067691961,-45.66832820902594,-74.5238211121961,1.1215469613259668,0.16666666666666666
holiday:k5:all,KGS,11,11,260,0.9347826086956522,0.8607183785082427,3.8982296884951246,-33.377361668434865,0.7734806629834254,0.3333333333333333
holiday:k5:all,KZT,11,11,269,0.9076923076923077,0.8690481588871265,-45.66503064919887,-54.05349484551648,0.9510869565217391,0.3333333333333333
holiday:k5:all,TJS,11,11,240,1.14,0.9750314034340392,-3.154328160289886,-60.00838353808532,0.8508287292817679,0.3333333333333333
holiday:k5:all,UZS,11,11,243,1.00546875,0.8780826241879627,-18.059051717095358,-74.81579772744381,0.7989130434782609,0.5
holiday:k5:fixed,AMD,11,11,250,0.7821969696969697,0.7587315067691961,-45.66832820902594,-74.5238211121961,1.1215469613259668,0.16666666666666666
holiday:k5:fixed,KGS,11,11,216,0.9453152211772902,0.877238236491061,-32.26572331220768,-39.102668692375886,0.580110497237569,0.3333333333333333
holiday:k5:fixed,KZT,11,11,241,1.0093167701863353,0.9217531368702195,6.034865454074406,-44.81979936917385,0.8508287292817679,0.3333333333333333
holiday:k5:fixed,TJS,11,11,195,1.1800000000000002,1.0144488074133762,18.43614508405803,-51.85038422275982,0.7692307692307693,0.3333333333333333
holiday:k5:fixed,UZS,11,11,191,0.8357142857142857,0.8800613216611911,-11.637085757307887,-79.2352518467479,0.580110497237569,0.5
holiday:k5:major,AMD,11,5,50,0.7471264367816093,0.8346374761561458,-77.22119824866546,-29.151618566079996,0.0,1.0
holiday:k5:major,KGS,11,11,135,0.9558823529411764,0.8961208208837916,-9.155191334810496,-59.03888676815571,0.3867403314917127,0.6666666666666666
holiday:k5:major,KZT,11,11,110,0.9750000000000001,0.9428747301290884,-9.920944984064704,-35.99681144608764,0.38461538461538464,0.6666666666666666
holiday:k5:major,TJS,11,11,135,0.9365079365079365,0.8778459931120098,0.5368957931451099,-115.6177432477103,0.3867403314917127,0.6666666666666666
holiday:k5:major,UZS,11,11,138,0.8459016393442623,0.8476482788404931,-38.01083751947115,-114.09982404168736,0.41847826086956524,0.5
holiday:k1:all,all,55,55,269,0.7946127946127945,0.7613929231830415,-40.909325605879474,-91.5755746443245,0.19021739130434784,0.3333333333333333
