rule,baseline,blocks,events_rule,events_base,lift_rule,lift_base,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,verdict_lift,benefit_rule,benefit_base,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,verdict_benefit,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,verdict_lift_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_benefit_by_window
holiday:k3:major,seasonality,55,342,134,0.796607985478079,1.0311448924491056,-0.23453690697102658,-0.4390174975505423,-0.02599059995959399,база,-100.74916220282581,43.5513928125129,-144.30055501533872,-257.83440857208916,-46.7364828021188,база,11,-0.5996959729484499,0.12030157228315781,разницы нет,-353.1558558027682,23.87779666220564,разницы нет
holiday:k5:all,calendar:all-days:all,55,1262,6765,0.8678940753765884,1.0,-0.13210592462341164,-0.20968643671843745,-0.054882733195006424,база,-58.97916824262707,0.0,-58.97916824262707,-103.2223546707052,-18.757372100562634,база,11,-0.22565296459204048,-0.043103402885237264,база,-147.16716751076464,5.351517522748032,разницы нет
holiday:k5:all,calendar:day25:first,55,1262,330,0.8678940753765884,1.1160804975942082,-0.24818642221761988,-0.34153645275761335,-0.1512390885358937,база,-58.97916824262707,70.55920978725135,-129.5383780298784,-188.75832666431805,-77.44467903466506,база,11,-0.42308930525737826,-0.08377403862581509,база,-259.820497624658,-39.53556298531078,база
holiday:k5:all,calendar:day25:all,55,1262,1485,0.8678940753765884,1.015204965093513,-0.14731088971692474,-0.227561016058995,-0.0659160719555056,база,-58.97916824262707,10.018404639808752,-68.99757288243582,-106.39168796122406,-32.260868018531696,база,11,-0.2501010997276885,-0.03533441292379625,база,-144.17193143787662,-8.104988473134087,база
holiday:k5:all,seasonality,55,1262,134,0.8678940753765884,1.0311448924491056,-0.1632508170725172,-0.30580036941757954,-0.023584445288933515,база,-58.97916824262707,43.5513928125129,-102.53056105513997,-171.0001068367742,-42.79962891948139,база,11,-0.3983035663753017,0.06421520368856751,разницы нет,-216.4488637147161,-10.137393786644394,база
holiday:k5:fixed,calendar:all-days:all,55,1093,6765,0.8854526801662277,1.0,-0.11454731983377231,-0.19653639079507876,-0.03316126675157911,база,-57.752480685947056,0.0,-57.752480685947056,-102.39881616462029,-17.23804988965279,база,11,-0.2170275969124486,-0.020441607481714794,база,-144.114974781581,6.498219677342687,разницы нет
holiday:k5:fixed,calendar:day25:first,55,1093,330,0.8854526801662277,1.1160804975942082,-0.23062781742798055,-0.33870531866554554,-0.12121365334200274,база,-57.752480685947056,70.55920978725135,-128.3116904731984,-188.22343806546604,-75.45252254802567,база,11,-0.4256742868669185,-0.040595196706789315,база,-255.80574644776357,-36.87088215522196,база
holiday:k5:fixed,calendar:day25:all,55,1093,1485,0.8854526801662277,1.015204965093513,-0.1297522849272854,-0.22124100418899284,-0.03600023197600072,база,-57.752480685947056,10.018404639808752,-67.77088532575581,-106.48608119475516,-29.870558179388613,база,11,-0.25561037801930186,0.006278094616888958,разницы нет,-141.71335802936935,-5.474411646696166,база
holiday:k5:fixed,seasonality,55,1093,134,0.8854526801662277,1.0311448924491056,-0.14569221228287788,-0.29866394955022774,0.0038340042534122406,разницы нет,-57.752480685947056,43.5513928125129,-101.30387349845995,-169.54142585594684,-41.41544047648972,база,11,-0.40209091850877343,0.10436024970118532,разницы нет,-214.31667151003427,-6.269543265901324,база
holiday:k5:major,calendar:all-days:all,55,568,6765,0.8832375985755229,1.0,-0.11676240142447714,-0.2301931054129443,0.0005682425260845802,разницы нет,-78.770512248712,0.0,-78.770512248712,-166.87596426856885,-1.6664275066841983,база,11,-0.2891683262482787,0.0799304549357794,разницы нет,-268.54313901333444,47.40546177519341,разницы нет
holiday:k5:major,calendar:day25:first,55,568,330,0.8832375985755229,1.1160804975942082,-0.23284289901868538,-0.3656642999307049,-0.09158539210238495,база,-78.770512248712,70.55920978725135,-149.32972203596336,-251.32314586827795,-60.0174542161697,база,11,-0.48924904287926874,0.008513341842565761,разницы нет,-377.83093346318753,3.110347776038449,разницы нет
holiday:k5:major,calendar:day25:all,55,568,1485,0.8832375985755229,1.015204965093513,-0.13196736651799024,-0.2464658042796036,-0.010307405481745921,база,-78.770512248712,10.018404639808752,-88.78891688852075,-169.1171325027563,-17.336464627127427,база,11,-0.3027196831448356,0.04993952054367584,разницы нет,-260.4407019942947,28.051086397419393,разницы нет
holiday:k5:major,seasonality,55,568,134,0.8832375985755229,1.0311448924491056,-0.1479072938735827,-0.3317562460230038,0.037819521855857366,разницы нет,-78.770512248712,43.5513928125129,-122.3219050612249,-230.98915272671465,-29.293424762185737,база,11,-0.4544463104229852,0.16222447847828933,разницы нет,-332.77608763608663,30.69060399152505,разницы нет
