indicator,k,scope,country,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
holiday:k5:all,5,all,KG,KGS,0,2021-01…2021-06,BUY_NOW,20,25.0,31,31,0.12903225806451613,0.1440677966101695,0.8956356736242884,,,0.6129032258064516,0.5,1.2258064516129032,51.680626999575516,-8.151508733265231,59.83213573284075,,,,,,,61.264769504477485,56.74530938363864,1.1988950276243093,0.8666666666666667,1.4210526315789476,49.0,0.3333333333333333
holiday:k5:all,5,all,KG,KGS,1,2021-07…2021-12,BUY_NOW,20,25.0,20,20,0.35,0.16279069767441862,2.15,,,0.5,0.5348837209302325,0.9347826086956522,115.95519543047105,25.66914672872073,90.28604870175032,,,,,,,46.3321578774361,29.851546658107914,0.7608695652173914,0.8421052631578947,1.9922418974054776,59.0,0.16666666666666666
holiday:k5:all,5,all,KG,KGS,2,2022-01…2022-06,BUY_NOW,20,25.0,28,28,0.17857142857142858,0.10256410256410256,1.7410714285714286,,,0.21428571428571427,0.39316239316239315,0.5450310559006211,-246.4966584351329,-134.33666686632213,-112.15999156881077,,,,,,,-62.06747938503134,45.739192784103906,1.0828729281767955,0.8518518518518519,1.3898374989209732,55.0,0.3333333333333333
holiday:k5:all,5,all,KG,KGS,3,2022-07…2022-12,BUY_NOW,20,25.0,20,20,0.0,0.2846153846153846,0.0,,,0.15,0.5769230769230769,0.26,-188.80814246633662,92.68431984896502,-281.4924623153016,,,,,,,-251.22708340717764,-164.63820246256677,0.7608695652173914,0.8421052631578947,1.9820668170340525,59.0,0.16666666666666666
holiday:k5:all,5,all,KG,KGS,4,2023-01…2023-06,BUY_NOW,20,25.0,39,39,0.358974358974359,0.5508474576271186,0.6516765285996056,,,0.717948717948718,0.8389830508474576,0.8557368557368558,139.39907631038795,231.7318649254994,-92.33278861511144,,,,,,,-23.409815532067995,72.7120892926159,1.5082872928176796,0.8947368421052632,2.130415347088147,47.0,0.16666666666666666
holiday:k5:all,5,all,KG,KGS,5,2023-07…2023-12,BUY_NOW,20,25.0,15,15,0.13333333333333333,0.20155038759689922,0.6615384615384615,,,0.3333333333333333,0.5271317829457365,0.6323529411764705,-142.50116150514185,-26.704775666556326,-115.79638583858552,,,,,,,-4.68399968871817,-59.77140508349543,0.5706521739130435,0.8571428571428571,2.081784609534288,61.0,0.3333333333333333
holiday:k5:all,5,all,KG,KGS,6,2024-01…2024-06,BUY_NOW,20,25.0,37,37,0.21621621621621623,0.23931623931623933,0.9034749034749034,,,0.4594594594594595,0.5726495726495726,0.8023396530859218,-10.512160429504997,31.12319280205631,-41.635353231561304,,,,,,,-12.138388411956031,-23.903390789606902,1.4230769230769231,0.8611111111111112,1.6623217526903313,38.0,0.16666666666666666
holiday:k5:all,5,all,KG,KGS,7,2024-07…2024-12,BUY_NOW,20,25.0,15,15,0.2,0.3282442748091603,0.6093023255813954,,,0.8666666666666667,0.7557251908396947,1.1468013468013467,110.40351170111802,99.54663906237663,10.856872638741393,,,,,,,49.97568365116548,25.05473785723625,0.5706521739130435,0.8571428571428571,2.0892434687237715,62.0,0.3333333333333333
holiday:k5:all,5,all,KG,KGS,8,2025-01…2025-06,BUY_NOW,20,25.0,25,25,0.08,0.02564102564102564,3.12,,,0.2,0.15384615384615385,1.3,-135.67832340018285,-221.43511533665657,85.75679193647372,,,,,,,53.82933306174076,-56.73433469794459,0.9668508287292817,0.875,1.8168052317185792,53.0,0.3333333333333333
holiday:k5:all,5,all,KG,KGS,9,2025-07…2025-12,BUY_NOW,20,25.0,10,10,0.3,0.2076923076923077,1.4444444444444444,,,0.5,0.5230769230769231,0.9558823529411764,86.17229996982245,-6.366992636140395,92.53929260596284,,,,,,,49.691803101948196,63.26592266130471,0.3804347826086957,0.8888888888888888,2.545584412271571,117.0,0.6666666666666666
