corridor,day_of_month,n_days,n_days_detrended,dev_from_month_mean_bps,ci_lo,ci_hi,dev_detrended_bps,detrended_ci_lo,detrended_ci_hi,in_tax_window
TJS,22,47,47,12.853559974294251,-38.13982389768464,69.50380610342499,4.056647958511503,-34.581747606889394,49.19349729393824,True
TJS,23,42,42,-23.701107699312796,-86.51213185804478,35.51784088731918,-20.513894492592257,-69.92046049339757,19.585236197645404,True
TJS,24,46,46,-45.41058578331424,-123.44226641253503,36.17533332063267,-20.833164216611976,-72.17382365575224,25.57760917327203,True
TJS,25,47,47,-52.641886920216166,-137.79116520160292,26.420357169036123,-40.68895325282321,-75.04421241435185,-7.875428312230583,True
TJS,26,48,48,7.007603928250336,-57.89530462854508,72.72179909252732,2.585979044193016,-28.125348995673708,35.87187980613325,True
TJS,27,48,48,-16.804836568641246,-96.80815590063953,69.02217492686061,11.73709930570368,-34.931605352155,73.69773245891619,True
TJS,28,47,47,7.828707598365802,-95.9343812555129,136.85213880624005,46.12283382075849,-8.731691237602211,114.67531757059947,True
TJS,29,44,44,-14.973452963120986,-140.38539059010833,102.51049228221116,-3.1118024777661693,-59.082824289938564,45.537823927533566,False
TJS,30,40,40,10.717340768077092,-96.72035968633354,120.7493880066196,19.185223958848137,-28.226168109751836,76.18415366922126,False
TJS,31,23,23,-68.40334954027784,-341.9608042406521,102.5995908001797,-16.60363771048177,-159.7493539222698,83.44053533916785,False
UZS,1,41,41,-44.33932443847447,-144.287868735681,54.577532216255676,-65.21260137336556,-199.9024658648927,31.800181857178803,False
UZS,2,42,42,2.2751765806945894,-76.93154716980295,86.89036250264553,3.342080731688814,-58.96647941203622,59.035393325645934,False
UZS,3,40,40,69.43933769455668,-29.355797594897883,167.2920734457494,8.519510728753138,-38.30424445239375,51.629205063032764,False
UZS,4,39,39,58.321563684555585,-33.543141525077324,156.11771628252325,-18.154894052399033,-68.78386060833299,33.26415636288305,False
UZS,5,43,43,34.54829356420584,-43.72358990426831,113.76237619021171,-7.901613928410907,-42.62725173831946,25.12225151517605,False
UZS,6,41,41,84.96878445642062,-4.619492329601173,180.25159224189846,37.90006945544127,-10.394409602898206,94.86710854318503,False
UZS,7,41,41,87.0420378992778,11.576597530638896,165.88207039327008,52.514976492463234,0.9334120428353361,106.71682103240352,False
UZS,8,38,38,4.636287666905146,-65.80092831327771,74.87977149061912,0.6502376956714284,-51.348018410607274,49.464587567753995,False
UZS,9,41,41,45.72890261766681,-40.21817419744007,145.46448650517289,25.618357189213263,-25.54756745810037,81.5290287364573,False
UZS,10,44,44,67.8142256543045,-20.231498768487697,174.677773043233,40.588728822440466,-21.576623198953026,117.88446716152092,False
UZS,11,46,46,64.60476018108842,-20.170456190289592,163.7475300828371,47.81664037869903,-14.447355031386444,119.78083133990111,False
UZS,12,44,44,10.415094191240977,-43.15914686791922,60.33080469804996,-0.4180965844601749,-33.62567734828774,35.56417181409544,False
UZS,13,45,45,18.543492750021677,-26.724582306525676,60.19842319269702,-1.6740985231425722,-38.25125985823538,34.88464673671464,False
UZS,14,45,45,37.875310694351455,-33.19722600460115,117.84111295968809,14.21034097687611,-43.042556781534735,79.3659687552437,False
UZS,15,48,48,-10.485236536363276,-59.64638096118021,53.354459895343716,-23.99016728102121,-66.65111675966673,30.12132055788925,False
UZS,16,47,47,-15.603288183591385,-59.63207212665487,32.810121018947186,-29.90776938883069,-73.1856328028035,16.868590331180172,False
UZS,17,47,47,-12.804316562965814,-48.48143918622531,21.79202310230819,-15.888374935464828,-53.11956018659285,20.657667472823206,False
UZS,18,47,47,-40.71242902676994,-83.44022772388769,-1.4754812785708862,-37.210134711746505,-81.90041793400316,7.2878519199334315,False
UZS,19,48,48,-13.289140844543772,-65.17685166677093,35.099890930238594,-12.401020875822661,-62.141993602562536,33.32595668373818,False
UZS,20,48,48,-22.910022897033613,-82.00641925338545,27.90038119018365,-10.478845391009386,-61.58918402263687,31.657248380023475,True
UZS,21,46,46,-39.74764654691993,-90.98941108984627,13.631973778343497,-22.918865722956724,-65.21729304452234,19.385593071014128,True
UZS,22,47,47,-11.594404195547078,-67.92893083061172,51.21114881231696,-10.486093888578727,-42.939823868551905,26.408703595929314,True
UZS,23,42,42,-49.60244527515334,-115.94779318547678,12.059286986638607,-25.948222369018147,-65.97613878302406,7.259085523954811,True
UZS,24,46,46,-66.59140776923309,-152.65083335522326,19.891969683541003,-22.815680054913745,-74.71742836021467,25.658733228072386,True
UZS,25,47,47,-63.31298902619605,-149.09131947822252,15.813372126252522,-35.50976347280204,-76.78573646449514,-1.3715067451338168,True
UZS,26,48,48,-6.592162125751486,-70.46124296356311,56.53483443977343,1.7832726175220275,-25.864190994944437,27.67480844564114,True
