window,pct,stall_days,rearm,n_events,freq_per_week,hit_mean,base_mean,lift_mean,hit_min,lift_min,benefit_excess_bps,empty_month_share,corridor,on_frontier
20,0.2,0,3,125,0.5328867235079172,0.472,0.48869163713890934,0.9658442341337533,0.2,1.0586764640100865,16.5362232651864,0.3148148148148148,AMD,False
20,0.2,0,5,84,0.35809987819732036,0.4880952380952381,0.49379612561114117,0.9884549772259807,0.2261904761904762,1.1728483850560578,28.026209032240732,0.3148148148148148,AMD,False
20,0.2,3,1,120,0.5115712545676006,0.425,0.47979796217006127,0.8857895062283768,0.14166666666666666,0.7611609486135564,-9.59993887492692,0.37037037037037035,AMD,False
20,0.2,3,3,66,0.28136419001218027,0.42424242424242425,0.47085501137726676,0.9010043728779712,0.16666666666666666,0.9207982423048574,-2.3176556076109915,0.37037037037037035,AMD,False
20,0.2,3,5,57,0.24299634591961025,0.43859649122807015,0.47966225651446226,0.9143860816049971,0.15789473684210525,0.8609398213575175,-20.58354864475944,0.3888888888888889,AMD,False
20,0.3,0,1,382,1.628501827040195,0.5104712041884817,0.49262777539811575,1.0362209150223936,0.17801047120418848,0.9296855814558346,17.231913647792243,0.2037037037037037,AMD,False
20,0.3,0,3,150,0.6394640682095006,0.4866666666666667,0.49935008860448815,0.9746001408084911,0.16,0.8325121918744472,6.629950698202555,0.2037037037037037,AMD,False
20,0.3,0,5,99,0.4220462850182704,0.48484848484848486,0.5048647110747866,0.9603532871535229,0.1717171717171717,0.8787941155170623,0.7579753693271589,0.2037037037037037,AMD,False
20,0.3,3,1,182,0.7758830694275275,0.42857142857142855,0.48506667993059754,0.8835309583266939,0.15384615384615385,0.8163107506692876,-9.308400666957716,0.2037037037037037,AMD,False
20,0.3,3,3,90,0.3836784409257004,0.45555555555555555,0.49825617652205517,0.9142998662564307,0.14444444444444443,0.7556338378589734,-6.19855559932171,0.2222222222222222,AMD,False
20,0.3,3,5,73,0.31120584652862365,0.4657534246575342,0.49755619427939957,0.9360820546754027,0.1232876712328767,0.655015098790431,-18.304635564465414,0.24074074074074073,AMD,False
20,0.4,0,1,468,1.995127892813642,0.5042735042735043,0.5016826382296115,1.0051643526135083,0.18162393162393162,0.9245749341214492,10.386923680354778,0.16666666666666666,AMD,False
20,0.4,0,3,177,0.7545676004872107,0.5084745762711864,0.5110268797322602,0.9950055397038782,0.1694915254237288,0.8468257521633005,6.831706319237454,0.16666666666666666,AMD,False
20,0.4,0,5,115,0.49025578562728384,0.5130434782608696,0.5115272322910515,1.0029641549346788,0.1565217391304348,0.7900605874232441,3.8509371419427274,0.16666666666666666,AMD,False
20,0.4,3,1,261,1.1126674786845312,0.4444444444444444,0.503612720396269,0.8825123481685135,0.16475095785440613,0.8295160142078102,-13.805429321509523,0.16666666666666666,AMD,False
20,0.4,3,3,119,0.5073081607795372,0.44537815126050423,0.5123537363477404,0.869278624638,0.15966386554621848,0.7969414901467623,-14.361940805962307,0.18518518518518517,AMD,False
20,0.4,3,5,90,0.3836784409257004,0.4888888888888889,0.5172321862785143,0.9452019844442484,0.14444444444444443,0.7232946910370519,-16.00942683670675,0.2037037037037037,AMD,False
20,0.5,0,1,535,2.280755176613886,0.508411214953271,0.5078227325987575,1.0011588342087443,0.18130841121495328,0.9082509319686245,5.651161525406072,0.12962962962962962,AMD,True
20,0.5,0,3,203,0.8654080389768576,0.5270935960591133,0.5144181262518732,1.024640402739296,0.1724137931034483,0.8473997581515234,3.3055315492706705,0.12962962962962962,AMD,False
20,0.5,0,5,130,0.5542021924482339,0.5,0.5153941367536125,0.9701313312359785,0.14615384615384616,0.7219969202155032,-4.984860622858377,0.12962962962962962,AMD,False
20,0.5,3,1,322,1.3727161997563948,0.45962732919254656,0.5121293125900869,0.8974829557558183,0.17080745341614906,0.8401681648489343,-14.940086657452914,0.12962962962962962,AMD,False
20,0.5,3,3,144,0.6138855054811206,0.4652777777777778,0.5176482403204586,0.8988300191839539,0.1597222222222222,0.7756832329276095,-12.183049527139246,0.12962962962962962,AMD,False
20,0.5,3,5,106,0.4518879415347138,0.4811320754716981,0.5271664099353004,0.9126758958916746,0.14150943396226415,0.6860890647257046,-20.65545558189311,0.12962962962962962,AMD,False
