indicator,rule,mode,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
calendar:day20-28:all,day20-28,all,UZS,7,2024-07…2024-12,BUY_NOW,20,25.0,38,38,0.2631578947368421,0.31297709923664124,0.8408215661103978,,,0.631578947368421,0.6641221374045801,0.9509981851179673,50.787361616385176,93.66515844300025,-42.877796826615075,,,,,,,-32.71031117380237,82.54633473030717,1.4456521739130435,0.8648648648648649,1.716857374348939,25.0,0.0
calendar:day20-28:all,day20-28,all,UZS,8,2025-01…2025-06,BUY_NOW,20,25.0,40,40,0.0,0.042735042735042736,0.0,,,0.225,0.24786324786324787,0.9077586206896552,-137.01000143585244,-198.85952062411175,61.84951918825931,,,,,,,64.8754844385076,-5.4607217791499965,1.5469613259668509,0.8717948717948718,1.680804236268589,24.0,0.0
calendar:day20-28:all,day20-28,all,UZS,9,2025-07…2025-12,BUY_NOW,20,25.0,37,37,0.13513513513513514,0.2,0.6756756756756757,,,0.4864864864864865,0.5384615384615384,0.9034749034749036,29.932713131670756,31.661039927311496,-1.72832679564074,,,,,,,3.1733530022980334,2.3631294974995125,1.407608695652174,0.8611111111111112,1.6977086731299282,25.0,0.0
calendar:day20-28:all,day20-28,all,UZS,10,2026-01…2026-06,BUY_NOW,20,25.0,37,37,0.2702702702702703,0.2564102564102564,1.0540540540540542,,,0.5675675675675675,0.5470085470085471,1.0375844594594592,22.51013179503241,10.996849225985803,11.513282569046607,,,,,,,54.324998013124855,71.94304422725794,1.430939226519337,0.8611111111111112,1.6666666666666667,25.0,0.0
calendar:day25:first,day25,first,UZS,0,2021-01…2021-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.13559322033898305,1.2291666666666665,,,0.5,0.5169491525423728,0.9672131147540984,28.559547638801195,-12.978020395404887,41.53756803420608,,,,,,,39.37477257561218,66.14456649884119,0.23204419889502761,0.0,0.07065835796489936,32.0,0.0
calendar:day25:first,day25,first,UZS,1,2021-07…2021-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.14728682170542637,1.1315789473684208,,,0.3333333333333333,0.5116279069767442,0.6515151515151515,20.186266943043602,10.345720517709584,9.840546425334018,,,,,,,7.771717822566511,1.171591154393757,0.2282608695652174,0.0,0.04721314364437764,33.0,0.0
calendar:day25:first,day25,first,UZS,2,2022-01…2022-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.1111111111111111,1.5,,,0.5,0.41025641025641024,1.21875,131.9640163760498,-133.26289884507412,265.22691522112393,,,,,,,369.8297530679388,343.3184356155294,0.23204419889502761,0.0,0.07964743533956825,33.0,0.0
calendar:day25:first,day25,first,UZS,3,2022-07…2022-12,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.25384615384615383,1.3131313131313131,,,0.8333333333333334,0.5307692307692308,1.570048309178744,239.82712122560852,116.21310466761958,123.61401655798895,,,,,,,105.1891528045516,185.61295260013415,0.2282608695652174,0.0,0.03432713198875175,32.0,0.0
calendar:day25:first,day25,first,UZS,4,2023-01…2023-06,BUY_NOW,20,25.0,6,6,0.6666666666666666,0.5,1.3333333333333333,,,0.8333333333333334,0.8389830508474576,0.9932659932659933,247.89400861608223,230.9240759258275,16.969932690254723,,,,,,,52.10783321747514,118.54566228923852,0.23204419889502761,0.0,0.04850474738184512,33.0,0.0
calendar:day25:first,day25,first,UZS,5,2023-07…2023-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.13953488372093023,1.1944444444444444,,,0.6666666666666666,0.4728682170542636,1.4098360655737705,34.129534739232135,-69.49233690529937,103.6218716445315,,,,,,,95.33179754305881,97.60357275752013,0.2282608695652174,0.0,0.04721314364437763,33.0,0.0
