name,error,spec
ref_calendar25,ValueError('Can only compare identically-labeled Series objects'),"{""name"": ""ref_calendar25"", ""model"": ""calendar"", ""policy"": {""cooldown"": 1, ""cap"": 5, ""span"": 7}}"
lr_dropshock,0.9435570636836824,0.8026967528893781,0.8922875516989854,0.9365079365079365,0.32727272727272727,-1.8587172304021067,0.4765712428335536,683,0.6766725902088155,0.5787878787878787,102.0,0.6,"{""name"": ""lr_dropshock"", ""model"": ""logreg"", ""drop_shock"": true}","{""AMD"": 1.003, ""KGS"": 0.944, ""KZT"": 0.803, ""TJS"": 0.893, ""UZS"": 1.418}"
lr_gate0.2,1.2778735632183909,0.8181818181818182,1.2157519246843558,1.323232323232323,0.509090909090909,60.969140722488476,0.21559790797720174,309,0.6328994753851281,0.7515151515151512,135.0,0.6,"{""name"": ""lr_gate0.2"", ""model"": ""logreg"", ""gate_rank120"": 0.2}","{""AMD"": 1.494, ""KGS"": 1.391, ""KZT"": 0.818, ""TJS"": 1.022, ""UZS"": 1.278}"
lr_gate0.35,1.2617647058823531,0.868803786574871,1.0518313947648894,0.9961538461538462,0.38181818181818183,45.60964577927876,0.2922300435572115,419,0.6503961183686063,0.6969696969696968,126.0,0.6,"{""name"": ""lr_gate0.35"", ""model"": ""logreg"", ""gate_rank120"": 0.35}","{""AMD"": 1.362, ""KGS"": 1.325, ""KZT"": 0.869, ""TJS"": 0.937, ""UZS"": 1.262}"
lr_fpw0.5,1.0636363636363637,0.7477305937162677,0.8760026612721882,0.9750000000000001,0.34545454545454546,-1.2477927726175686,0.30769898489691905,442,0.591174404437086,0.7151515151515153,126.0,0.6,"{""name"": ""lr_fpw0.5"", ""model"": ""logreg"", ""target_fpw"": 0.5}","{""AMD"": 1.17, ""KGS"": 0.851, ""KZT"": 0.748, ""TJS"": 1.064, ""UZS"": 1.092}"
lr_fpw2.0,1.1282051282051282,0.9380022962112513,1.0267215876585642,1.0378760480026301,0.5636363636363636,15.413073489020716,0.8118171403422424,1164,0.7596288588560375,0.38787878787878777,77.0,0.6,"{""name"": ""lr_fpw2.0"", ""model"": ""logreg"", ""target_fpw"": 2.0}","{""AMD"": 1.192, ""KGS"": 1.128, ""KZT"": 0.938, ""TJS"": 0.946, ""UZS"": 1.135}"
hgb,1.0134567901234568,0.9760403530895334,1.001291857371018,1.085031055900621,0.5636363636363636,17.947309573082016,0.5459024221034791,781,0.6085258724386032,0.42121212121212104,79.0,3.0,"{""name"": ""hgb"", ""model"": ""hgb""}","{""AMD"": 1.152, ""KGS"": 1.151, ""KZT"": 1.009, ""TJS"": 1.013, ""UZS"": 0.976}"
hgb_exAll,1.117936117936118,0.9314802844214609,1.0771180160772094,1.0771641990129386,0.5272727272727272,36.11635470716093,0.5351397341548675,767,0.6268191563950993,0.39696969696969703,77.0,3.5,"{""name"": ""hgb_exAll"", ""model"": ""hgb"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""]}","{""AMD"": 0.931, ""KGS"": 1.208, ""KZT"": 0.968, ""TJS"": 1.118, ""UZS"": 1.143}"
rf,1.1053864168618268,1.0230409356725145,1.0863240945554442,1.1360164141414142,0.6181818181818182,47.874686409622115,0.4883983359902169,699,0.5417281116919613,0.47272727272727266,83.0,4.9,"{""name"": ""rf"", ""model"": ""rf""}","{""AMD"": 1.256, ""KGS"": 1.249, ""KZT"": 1.097, ""TJS"": 1.023, ""UZS"": 1.105}"
rf_exAll,1.0875216242210164,0.9377209157875327,1.0723430302979158,1.081851971557854,0.5636363636363636,26.985605239481472,0.5558114357417744,797,0.6722901753509508,0.42121212121212137,59.0,9.9,"{""name"": ""rf_exAll"", ""model"": ""rf"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""]}","{""AMD"": 0.938, ""KGS"": 1.088, ""KZT"": 1.216, ""TJS"": 1.074, ""UZS"": 1.203}"
blend_lr_hgb,0.9100000000000001,0.7945783132530121,0.9614478811558869,1.0045454545454546,0.4727272727272727,11.282332101184728,0.5629110260385783,806,0.6614160016802899,0.49393939393939384,84.0,3.1,"{""name"": ""blend_lr_hgb"", ""model"": ""blend_lr_hgb""}","{""AMD"": 1.198, ""KGS"": 1.151, ""KZT"": 0.795, ""TJS"": 0.907, ""UZS"": 0.91}"
blend_lr_hgb_exAll,1.1639097744360902,1.0588235294117647,1.0859436076699684,1.1636310235816814,0.6,55.028041742770874,0.5728521238550063,821,0.6887880113138469,0.4393939393939394,84.0,4.0,"{""name"": ""blend_lr_hgb_exAll"", ""model"": ""blend_lr_hgb"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""]}","{""AMD"": 1.059, ""KGS"": 1.188, ""KZT"": 1.119, ""TJS"": 1.164, ""UZS"": 1.201}"
blend_lr_rf,1.191919191919192,1.0237500000000002,1.0410003389304072,1.1902453102453103,0.6363636363636364,33.24059268356518,0.5285117896756139,757,0.6402551541274505,0.5303030303030302,106.0,5.0,"{""name"": ""blend_lr_rf"", ""model"": ""blend_lr_rf""}","{""AMD"": 1.205, ""KGS"": 1.192, ""KZT"": 1.024, ""TJS"": 1.062, ""UZS"": 1.219}"
blend_lr_rf_exAll,1.1823059988992846,1.0625548199077612,1.099905819657444,1.1411102484472049,0.6,63.2769628918479,0.6102867586413107,875,0.7132054840516485,0.4454545454545455,83.0,10.2,"{""name"": ""blend_lr_rf_exAll"", ""model"": ""blend_lr_rf"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""]}","{""AMD"": 1.12, ""KGS"": 1.063, ""KZT"": 1.182, ""TJS"": 1.203, ""UZS"": 1.244}"
stack_hgb_lr,1.0434782608695652,0.472265625,1.0147451251103945,1.0434782608695652,0.4727272727272727,18.643971363331232,0.5213076318348958,746,0.57783530063699,0.4727272727272726,79.0,47.0,"{""name"": ""stack_hgb_lr"", ""model"": ""stack_hgb_lr""}","{""AMD"": 1.125, ""KGS"": 1.122, ""KZT"": 1.043, ""TJS"": 1.013, ""UZS"": 0.472}"
stack_hgb_lr_exAll,1.1238095238095238,1.0577540106951873,1.0867142630494178,1.1127717391304348,0.5636363636363636,39.02398523517023,0.5019048930891352,719,0.5645788168978291,0.3878787878787879,79.0,105.3,"{""name"": ""stack_hgb_lr_exAll"", ""model"": ""stack_hgb_lr"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""]}","{""AMD"": 1.058, ""KGS"": 1.11, ""KZT"": 1.128, ""TJS"": 1.124, ""UZS"": 1.548}"
