name,lift_med_corr_median,lift_med_corr_min,lift_pooled,lift_win_median_all,share_windows_lift_gt1,benefit_excess_med,fpw,n_events,clump_share,empty_month_share,longest_gap,sec,spec,per_corr_lift
blend_lr_rf_exAll_gate0.2_fpw2,1.238328664799253,1.1957386363636362,1.306914083953988,1.3255867498514555,0.7090909090909091,93.18373355428923,0.339301186442671,486,0.6892609193605214,0.609090909090909,134.0,10.4,"{""model"": ""blend_lr_rf"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""blend_lr_rf_exAll_gate0.2_fpw2""}","{""AMD"": 1.523, ""KGS"": 1.571, ""KZT"": 1.204, ""TJS"": 1.238, ""UZS"": 1.196}"
lr_exAll_gate0.3_fpw1.0,1.3432835820895523,1.154832585207996,1.3032619716628335,1.3364145183175036,0.6545454545454545,101.53675039637976,0.2397232781631052,344,0.5884188184331927,0.6939393939393937,134.0,1.1,"{""name"": ""lr_exAll_gate0.3_fpw1.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.3, ""target_fpw"": 1.0}","{""AMD"": 1.518, ""KGS"": 1.343, ""KZT"": 1.155, ""TJS"": 1.174, ""UZS"": 1.553}"
stack_hgb_lr_exAll_gate0.2_fpw2,1.3977272727272725,1.1015582453653625,1.2919642364516934,1.3892962806424347,0.7090909090909091,97.60435648743918,0.3522301863402031,504,0.6499630314645796,0.6,127.0,105.1,"{""name"": ""stack_hgb_lr_exAll_gate0.2_fpw2"", ""model"": ""stack_hgb_lr"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.44, ""KGS"": 1.437, ""KZT"": 1.102, ""TJS"": 1.382, ""UZS"": 1.398}"
ref_level_only_fpw0.25,1.452550627338763,0.9485294117647058,1.289277344541894,1.3821428571428571,0.5636363636363636,91.59527899546832,0.2798951468901025,400,0.5932612872763351,0.6666666666666669,135.0,0.5,"{""name"": ""ref_level_only_fpw0.25"", ""model"": ""level_only"", ""target_fpw"": 0.25}","{""AMD"": 1.506, ""KGS"": 1.572, ""KZT"": 0.949, ""TJS"": 1.453, ""UZS"": 1.154}"
ref_level_only_fpw0.25_dump,1.452550627338763,0.9485294117647058,1.289277344541894,1.3821428571428571,0.5636363636363636,91.59527899546832,0.2798951468901025,400,0.5932612872763351,0.6666666666666669,135.0,0.5,"{""name"": ""ref_level_only_fpw0.25_dump"", ""model"": ""level_only"", ""target_fpw"": 0.25, ""dump"": true}","{""AMD"": 1.506, ""KGS"": 1.572, ""KZT"": 0.949, ""TJS"": 1.453, ""UZS"": 1.154}"
lr_exAll_gate0.3_fpw2.0,1.3876658860265418,1.262650602409639,1.273511211540154,1.303030303030303,0.7272727272727273,96.8108059760287,0.3976632723509976,570,0.6564807211186816,0.5545454545454545,118.0,1.1,"{""name"": ""lr_exAll_gate0.3_fpw2.0"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.3, ""target_fpw"": 2.0}","{""AMD"": 1.533, ""KGS"": 1.394, ""KZT"": 1.263, ""TJS"": 1.265, ""UZS"": 1.388}"
lr_ex_vol+basket_gate0.2_fpw2,1.2935369318181815,1.1331719128329298,1.2656120589388715,1.3776871657754013,0.6727272727272727,99.53681148226735,0.3255438352183488,466,0.6621468210907867,0.6303030303030303,134.0,0.7,"{""name"": ""lr_ex_vol+basket_gate0.2_fpw2"", ""model"": ""logreg"", ""extra"": [""vol"", ""basket""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.498, ""KGS"": 1.515, ""KZT"": 1.137, ""TJS"": 1.133, ""UZS"": 1.294}"
best_pol_cd5cap1,1.3626150064768991,1.0522088353413654,1.2620976042779286,1.3064249047855605,0.6545454545454545,103.95147734368884,0.2017417425236305,289,0.0066699604743083,0.6121212121212121,134.0,1.1,"{""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""name"": ""best_pol_cd5cap1"", ""policy"": {""cooldown"": 5, ""cap"": 1, ""span"": 7}}","{""AMD"": 1.406, ""KGS"": 1.363, ""KZT"": 1.052, ""TJS"": 1.229, ""UZS"": 1.445}"
lr_base_gate0.2_fpw2_dump,1.189083632939565,0.9403254972875228,1.2617004022243106,1.326530612244898,0.5818181818181818,91.7520151620588,0.3267586245126481,468,0.7078335313732631,0.6666666666666665,126.0,0.6,"{""name"": ""lr_base_gate0.2_fpw2_dump"", ""model"": ""logreg"", ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""dump"": true}","{""AMD"": 1.494, ""KGS"": 1.45, ""KZT"": 0.94, ""TJS"": 1.189, ""UZS"": 1.076}"
lr_gate0.2_fpw2,1.189083632939565,0.9403254972875228,1.2617004022243106,1.326530612244898,0.5818181818181818,91.7520151620588,0.3267586245126481,468,0.7078335313732631,0.6666666666666665,126.0,0.7,"{""name"": ""lr_gate0.2_fpw2"", ""model"": ""logreg"", ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.494, ""KGS"": 1.45, ""KZT"": 0.94, ""TJS"": 1.189, ""UZS"": 1.076}"
