pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
momentum → momentum,UZS,11,216,202,0.9690330891061492,0.9499335783617532,-0.019099510744395976,-0.08832162794693292,0.049523369082954634,-10.103535521386247,-24.582620988277963,-14.479085466891716,-32.45031676084291,1.4920041301268807,11,-0.08832162794693292,0.049523369082954634,-32.45031676084291,1.4920041301268807,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,all,50,525,715,1.0774007002126214,1.0005415556713728,-0.07685914454124854,-0.16221424071249238,0.011509229632982083,-9.113811567736207,-2.954582540034881,6.1592290277013255,-20.39761555989112,37.11423843387088,10,-0.16905961079766763,0.022152134557921928,-24.675577496776036,53.119152032642454,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,AMD,10,93,143,1.1336054359058891,1.0100956585062124,-0.12350977739967672,-0.2932623038054236,0.11126265783212906,37.88928963439629,11.148727613556108,-26.740562020840184,-65.90784026035122,1.1307901174122703,10,-0.2932623038054236,0.11126265783212906,-65.90784026035122,1.1307901174122703,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KGS,10,115,143,0.9622468111073544,1.02680971836544,0.06456290725808567,-0.06068233212371877,0.20196385686858345,-47.65391791689655,-2.530603643162035,45.12331427373452,-15.28687547764673,125.80215986997032,10,-0.06068233212371877,0.20196385686858345,-15.28687547764673,125.80215986997032,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KZT,10,106,143,1.0569429311544163,0.9705051886674904,-0.08643774248692593,-0.2612300853848696,0.11518950677417449,-25.03948207521487,-28.36441519019414,-3.3249331149792702,-64.23215643377169,68.36619221342644,10,-0.2612300853848696,0.11518950677417449,-64.23215643377169,68.36619221342644,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,TJS,10,99,143,1.041245633528159,1.0021404063040025,-0.03910522722415655,-0.237406986055573,0.2365703501512297,-12.798546770904508,7.566468478333553,20.365015249238063,-25.145332248138022,106.97319503613062,10,-0.237406986055573,0.2365703501512297,-25.145332248138022,106.97319503613062,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,UZS,10,112,143,1.2112723727209884,0.9914513649454271,-0.21982100777556135,-0.42883998414099095,-0.052558788581892064,9.758810550670196,-2.5930899587078815,-12.351900509378078,-62.83401624866134,58.70806692662756,10,-0.42883998414099095,-0.052558788581892064,-62.83401624866134,58.70806692662756,latest,latest,разницы нет,разницы нет
seasonality → seasonality,all,55,134,165,1.0311448924491056,1.1180435847336785,0.08689869228457292,-0.003425202251343082,0.17410111025664243,43.5513928125129,57.746467237858155,14.195074425345254,-17.903766875722415,51.75513992170629,11,-0.018800638935388723,0.20676019443953017,-23.84693392803988,73.2496517419451,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,AMD,11,19,33,1.1924692350026247,1.1090138418409021,-0.08345539316172257,-0.3261100268437133,0.07320427829003155,117.27718617973183,58.2172611166633,-59.059925063068526,-142.03867630172806,4.53101215029745,11,-0.3261100268437133,0.07320427829003155,-142.03867630172806,4.53101215029745,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KGS,11,29,33,0.8905842467271253,1.029102549187979,0.13851830246085373,-0.039389650924398514,0.35566677073124,10.364525874683729,41.24740795569149,30.882882081007764,-31.960398945158644,130.80001317553544,11,-0.039389650924398514,0.35566677073124,-31.960398945158644,130.80001317553544,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KZT,11,32,33,1.017048410853528,1.2309272808782827,0.2138788700247547,0.026410602518086114,0.4196416839967501,25.206193642492604,82.64227791007995,57.43608426758735,-27.635748337897407,184.38033440559065,11,0.026410602518086114,0.4196416839967501,-27.635748337897407,184.38033440559065,вариант,вариант,разницы нет,разницы нет
seasonality → seasonality,TJS,11,28,33,0.9373171769724694,1.114379197883022,0.17706202091055256,-0.04341837317244239,0.3914194760907305,44.69109509289511,56.77471839578545,12.083623302890338,-64.50866386259469,79.57812058413391,11,-0.04341837317244239,0.3914194760907305,-64.50866386259469,79.57812058413391,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,UZS,11,26,33,1.1810012660158136,1.1099659894434193,-0.07103527657239428,-0.2624361174561782,0.0488739475004015,48.042307305198804,49.85067081107062,1.8083635058718173,-37.01615326335194,36.15047050039447,11,-0.2624361174561782,0.0488739475004015,-37.01615326335194,36.15047050039447,разницы нет,разницы нет,разницы нет,разницы нет
