indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,0.0,34,34,0.23529411764705882,0.184,1.278772378516624,0.47953964194373405,2.078005115089514,0.6470588235294118,0.4871111111111111,1.328359811077716,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,10.0,34,34,0.38235294117647056,0.2222222222222222,1.7205882352941175,0.9264705882352942,2.5147058823529416,0.7352941176470589,0.5351111111111111,1.3740961500879423,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,25.0,34,34,0.5294117647058824,0.26844444444444443,1.9721464744838333,1.3147643163225557,2.6295286326451115,0.8235294117647058,0.6391111111111111,1.288554364722245,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,50.0,34,34,0.5882352941176471,0.3768888888888889,1.5607658157602664,1.0925360710321865,1.9509572697003332,0.9117647058823529,0.76,1.19969040247678,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,0.0,34,34,0.11764705882352941,0.08266666666666667,1.4231499051233396,0.3557874762808349,2.846299810246679,0.5588235294117647,0.47555555555555556,1.175096206706982,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,10.0,34,34,0.14705882352941177,0.0951111111111111,1.546179219351292,0.3092358438702584,2.7831225948323257,0.5588235294117647,0.5031111111111111,1.110735813760133,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,25.0,34,34,0.17647058823529413,0.11555555555555555,1.5271493212669685,0.5090497737556561,2.799773755656109,0.5882352941176471,0.5573333333333333,1.0554461018857304,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,50.0,34,34,0.2647058823529412,0.1831111111111111,1.4456025128498,0.6424900057110222,2.2487150199885777,0.7352941176470589,0.6346666666666667,1.1585516559565003,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,180,0.0,34,34,0.08823529411764706,0.044444444444444446,1.9852941176470589,0.0,4.63235294117647,0.47058823529411764,0.4613333333333333,1.0200612036722203,-21.240092329413258,-38.124279454022144,16.884187124608886,-60.8587145651171,88.57372665840933,-98.98299401913924,50.44944720438719,-150.43578501182395,88.66669158712746,29.671294730322956,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,180,10.0,34,34,0.11764705882352941,0.05511111111111111,2.1347248576850095,0.5336812144212524,4.269449715370019,0.47058823529411764,0.4702222222222222,1.0007783831869232,-21.240092329413258,-38.124279454022144,16.884187124608886,-60.8587145651171,88.57372665840933,-98.98299401913924,50.44944720438719,-150.43578501182395,88.66669158712746,29.671294730322956,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
