indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled,h
level,AMD,7,0,125,1.78125,1.073189230185817,0.14285714285714285,0.14285714285714285,0.632,0.5681818718855046,33.979396717236085,29.691457897858438,42.07836476418459,0.6885245901639344,0.4642857142857143,1.1123198948652053,45
momentum,AMD,7,0,146,1.071705426356589,1.1442500716948667,0.14285714285714285,0.14285714285714285,0.678082191780822,0.6041949024586946,21.081005015478773,13.378977433793066,18.092869724691816,0.4207650273224044,0.13095238095238096,1.122290487757266,45
reversal,AMD,7,0,91,1.0,1.0,0.0,0.42857142857142855,0.4175824175824176,0.45245071775475515,-13.543892866606022,5.9045037831115925,0.5227480652442946,0.4972677595628415,0.5357142857142857,0.9229345897706422,45
dip_vs_trend,CNY,11,1,106,1.0096288397026285,1.0096288397026285,0.0,0.5,0.8773584905660378,0.8667561897546746,5.284842849029662,4.119277014743087,15.252890415592995,0.34806629834254144,0.5909090909090909,1.0122321604814428,1
level,CNY,11,2,169,1.0368298081652731,1.0368298081652731,0.0,0.3333333333333333,0.893491124260355,0.881119696641602,2.2862308740029142,2.485791800349024,2.9559260793656414,0.4230769230769231,0.4848484848484848,1.0140405754926451,1
momentum,CNY,11,0,544,0.9903143855192125,0.9903143855192125,0.0,0.6363636363636364,0.8786764705882353,0.8901321968780187,0.34449778530885933,0.6183026841955427,9.551742589447702,1.7119565217391306,0.0,0.9871303090372842,1
reversal,CNY,11,1,126,0.9918193206368803,0.9918193206368803,0.0,0.5,0.5,0.5035635106287364,2.782096164268038,2.384225093661853,-3.642345524075192,0.41847826086956524,0.6212121212121212,0.9929234137233512,1
dip_vs_trend,CNY,11,1,106,1.126360798258414,1.0159886895679655,0.0,0.5,0.8113207547169812,0.803503967038297,10.286917084467596,11.257520878405732,16.28782849464978,0.34806629834254144,0.5909090909090909,1.0097283747179204,4
level,CNY,11,2,169,1.1147685185185185,0.9842223891810669,0.0,0.6666666666666666,0.8224852071005917,0.824021461009182,-1.484294214043393,1.6799585399938226,5.936409432486939,0.4230769230769231,0.4848484848484848,0.9981356627451076,4
momentum,CNY,11,0,544,1.0189039039039038,1.0341173977537614,0.0,0.18181818181818182,0.8602941176470589,0.8341614534257115,0.19039502905556743,0.9585035399702173,19.937919764854858,1.7119565217391306,0.0,1.031328064985533,4
reversal,CNY,11,1,126,0.752776178065502,0.752776178065502,0.1,0.6,0.4523809523809524,0.48258364057246766,-1.0767550295803296,-1.51383242708505,-4.021449403866182,0.41847826086956524,0.6212121212121212,0.9374146041177708,4
dip_vs_trend,CNY,11,1,106,1.0810333075925298,1.0004811239519489,0.1,0.5,0.7452830188679245,0.7298823318877602,18.028972528477606,18.559913247695107,20.24254075228333,0.34806629834254144,0.5909090909090909,1.0211002326091825,9
level,CNY,11,2,169,1.1361591695501732,1.0276521231577413,0.0,0.3333333333333333,0.7751479289940828,0.756535642080623,0.9080063237747282,0.7637173649826602,6.918429088755539,0.4230769230769231,0.4848484848484848,1.0246019960966708,9
momentum,CNY,11,0,544,1.0337105852448103,1.0323162164311657,0.0,0.18181818181818182,0.7922794117647058,0.7679373692332865,0.1505324730130697,1.075905597416071,18.66727704078087,1.7119565217391306,0.0,1.0316979528626438,9
reversal,CNY,11,1,126,0.9218347571082495,0.9218347571082495,0.1,0.5,0.47619047619047616,0.4713090673639471,-1.576496868546522,-1.2886451820201874,-0.2539315938507407,0.41847826086956524,0.6212121212121212,1.010357129036008,9
dip_vs_trend,CNY,11,1,106,0.6355698250851153,0.9664500020506686,0.2,0.6,0.5849056603773585,0.5830490576998851,-0.5301615569405871,2.0577955967305335,43.61579057367251,0.34806629834254144,0.5909090909090909,1.0031842992505597,45
level,CNY,11,2,169,1.1708790445771422,0.9290540540540541,0.1111111111111111,0.5555555555555556,0.650887573964497,0.6186158565979023,1.9073823975693092,5.928862197235319,14.054529776273277,0.4230769230769231,0.4848484848484848,1.0521676207009534,45
momentum,CNY,11,0,544,1.042291042291042,0.9476619985758367,0.0,0.7272727272727273,0.6231617647058824,0.6307003727816283,-4.079581306733713,-0.052593927572326254,9.67244758128723,1.7119565217391306,0.0,0.9880472433486954,45
reversal,CNY,11,1,126,0.926463649185793,0.926463649185793,0.1,0.6,0.4126984126984127,0.44598634593044106,9.524496057903587,8.750924734369134,11.104020415028717,0.41847826086956524,0.6212121212121212,0.9253610933702885,45
