corridor,indicator,split,window,params,feasible,n_feasible,fitted
AMD,reversal,5,2025-12…2026-05,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.1753}",True,16,
AMD,dip_vs_trend,5,2025-12…2026-05,"{""span"": 720, ""window"": 2250, ""pct"": 0.2, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.1526}",True,30,
AMD,momentum,6,2026-06…2026-09,"{""n"": 4, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.3127}",True,6,
AMD,level,6,2026-06…2026-09,"{""window"": 2250, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 53, ""_score"": 1.597}",True,53,
AMD,reversal,6,2026-06…2026-09,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.1844}",True,16,
AMD,dip_vs_trend,6,2026-06…2026-09,"{""span"": 180, ""window"": 2250, ""pct"": 0.2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 26, ""_score"": 1.1714}",True,26,
CNY,momentum,0,2021-01…2021-06,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0072}",True,8,
CNY,level,0,2021-01…2021-06,"{""window"": 1080, ""pct"": 0.25, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 54, ""_score"": 1.4431}",True,54,
CNY,reversal,0,2021-01…2021-06,"{""window"": 1080, ""rise_bps"": 30, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.3586}",True,16,
CNY,dip_vs_trend,0,2021-01…2021-06,"{""span"": 360, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 24, ""_score"": 1.4367}",True,24,
CNY,momentum,1,2021-07…2021-12,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0236}",True,7,
CNY,level,1,2021-07…2021-12,"{""window"": 1080, ""pct"": 0.25, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 53, ""_score"": 1.4869}",True,53,
CNY,reversal,1,2021-07…2021-12,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 45, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.282}",True,16,
CNY,dip_vs_trend,1,2021-07…2021-12,"{""span"": 720, ""window"": 1080, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.5369}",True,30,
CNY,momentum,2,2022-01…2022-06,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0236}",True,7,
CNY,level,2,2022-01…2022-06,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 60, ""_score"": 1.4029}",True,60,
CNY,reversal,2,2022-01…2022-06,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.5512}",True,19,
CNY,dip_vs_trend,2,2022-01…2022-06,"{""span"": 720, ""window"": 2250, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 33, ""_score"": 1.5214}",True,33,
CNY,momentum,3,2022-07…2022-12,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0111}",True,7,
CNY,level,3,2022-07…2022-12,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 58, ""_score"": 1.3449}",True,58,
CNY,reversal,3,2022-07…2022-12,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 20, ""_score"": 1.5512}",True,20,
CNY,dip_vs_trend,3,2022-07…2022-12,"{""span"": 360, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 36, ""_score"": 1.3941}",True,36,
CNY,momentum,4,2023-01…2023-06,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0361}",True,7,
CNY,level,4,2023-01…2023-06,"{""window"": 1080, ""pct"": 0.2, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 59, ""_score"": 1.2872}",True,59,
CNY,reversal,4,2023-01…2023-06,"{""window"": 1080, ""rise_bps"": 30, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 21, ""_score"": 1.3577}",True,21,
CNY,dip_vs_trend,4,2023-01…2023-06,"{""span"": 360, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 32, ""_score"": 1.3941}",True,32,
CNY,momentum,5,2023-07…2023-12,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.0174}",True,7,
CNY,level,5,2023-07…2023-12,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 56, ""_score"": 1.2738}",True,56,
CNY,reversal,5,2023-07…2023-12,"{""window"": 1080, ""rise_bps"": 30, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.3577}",True,18,
CNY,dip_vs_trend,5,2023-07…2023-12,"{""span"": 360, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.1105}",True,31,
CNY,momentum,6,2024-01…2024-06,"{""n"": 3, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0028}",True,8,
