date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2025-02-12,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.5,fast,8,1.07545,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0292}","{""streak"": 3.0, ""drop_pct"": -3.3181703764968207}",muted,
2025-02-14,KGS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=120)",BUY_NOW,down,0.9583333333333334,medium,8,1.0327,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.2485}","{""dev_pct"": -10.315673284869764, ""pct_rank"": 0.008333333333333333, ""window"": 120.0, ""span"": 80.0}",muted,
2025-02-14,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.8333333333333334,fast,8,1.0327,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0292}","{""streak"": 5.0, ""drop_pct"": -7.161350641878538}",muted,
2025-02-17,KGS,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,8,1.04557,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0545}","{""rise_pct"": 1.2462477002033623, ""min_rate"": 1.0327, ""days_since_min"": 1.0, ""window"": 60.0}",muted,
2025-02-18,KGS,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.07681785904558494,medium,8,1.04448,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0008, ""_fitted"": true, ""_pos_rate_val"": 0.96}","{""proba"": 0.07681785904558494, ""pct_rank"": 0.025, ""window"": 120.0}",sent,BUY_NOW
2025-02-19,KGS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=120)",BUY_NOW,down,0.9166666666666666,medium,8,1.03404,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.2485}","{""dev_pct"": -9.941459858655355, ""pct_rank"": 0.016666666666666666, ""window"": 120.0, ""span"": 80.0}",muted,
2025-02-20,KGS,level,"level(pct=0.15,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.6266666666666667,medium,8,1.01212,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 35, ""_score"": 1.3347}","{""pct_rank"": 0.056, ""window"": 250.0, ""days_since_min"": 169.0}",muted,
2025-02-20,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.5,fast,8,1.01212,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0292}","{""streak"": 3.0, ""drop_pct"": -3.199211913119182}",muted,
2025-02-24,KGS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=120)",BUY_NOW,down,0.9166666666666666,medium,8,1.00865,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.2485}","{""dev_pct"": -11.808542391672505, ""pct_rank"": 0.016666666666666666, ""window"": 120.0, ""span"": 80.0}",muted,
2025-02-24,KGS,seasonality,"seasonality(from_day=24,min_share=0.5,min_years=3,rearm=20)",BUY_NOW,down,0.5,slow,8,1.00865,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0962}","{""k_years"": 5.0, ""n_years"": 10.0, ""target_month"": 3.0}",sent,BUY_NOW
