indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
momentum,KGS,15,0,202,0.6898395721925134,0.9604105571847507,0.13333333333333333,0.6,0.42574257425742573,0.46181117058359356,4.354758124210001,11.485915159746124,84.03380657466212,0.46153846153846156,0.1111111111111111,0.9218975230058041
momentum,KZT,15,0,315,1.0797385620915032,0.993533215755438,0.13333333333333333,0.5333333333333333,0.4666666666666667,0.4641837358693897,6.560500983479365,2.488444747268979,61.91795140648592,0.7608695652173914,0.0,1.0053490258391466
momentum,TJS,15,0,304,0.8405797101449275,0.9285714285714286,0.0,0.7333333333333333,0.48026315789473684,0.5073540540692872,6.787433194175609,16.35380810815784,62.40768688162281,0.7734806629834254,0.02222222222222222,0.9466035681448389
momentum,UZS,15,0,305,0.7023809523809523,0.9952741020793952,0.06666666666666667,0.5333333333333333,0.4491803278688525,0.4617288074652778,-2.8646829828654887,-44.77728764816852,47.42537065748391,0.7989130434782609,0.0,0.9728228358431611
reversal,AMD,15,2,130,1.2835820895522387,1.2835820895522387,0.46153846153846156,0.23076923076923078,0.5230769230769231,0.413563816942435,36.74146977418257,19.96296086680986,45.602887080928596,0.30939226519337015,0.611111111111111,1.264803403122018
reversal,KGS,15,1,170,1.0144146948941468,1.0144146948941468,0.21428571428571427,0.5,0.4470588235294118,0.40319995153409055,15.677992228759749,-10.800984392693252,10.52544629841636,0.46408839779005523,0.4666666666666667,1.1087769773494454
reversal,KZT,15,1,146,1.173625140291807,1.173625140291807,0.35714285714285715,0.2857142857142857,0.4794520547945205,0.402266062290159,22.225287302213665,33.260168773867704,27.175458162260007,0.30939226519337015,0.5777777777777777,1.1918779627218128
reversal,TJS,15,2,166,1.212962962962963,1.212962962962963,0.3076923076923077,0.46153846153846156,0.5120481927710844,0.4507772375603647,-0.6760202802159299,-45.83035247677127,59.39082987389557,0.4230769230769231,0.5222222222222223,1.135922912927729
reversal,UZS,15,2,159,1.3235294117647058,1.3235294117647058,0.5384615384615384,0.46153846153846156,0.4025157232704403,0.3362272786502745,71.47675919310527,1.9844222878058968,23.56784383942264,0.3804347826086957,0.5222222222222223,1.1971536779712493
seasonality,AMD,15,0,31,0.0,1.1944444444444444,0.4666666666666667,0.3333333333333333,0.5806451612903226,0.520583675989173,66.6974770478669,44.8224739941024,66.08955091720325,0.07608695652173914,0.6555555555555556,1.1153733550846086
seasonality,KGS,15,0,41,0.0,0.9590163934426229,0.2,0.6,0.4634146341463415,0.45441840383680315,23.92977878315071,28.93930807742528,46.38350169201999,0.1141304347826087,0.5444444444444444,1.0197972402384679
seasonality,KZT,15,0,44,0.0,0.9619565217391304,0.3333333333333333,0.5333333333333333,0.5,0.46523293754582545,18.707614023281003,-13.461253373483109,15.642208151038506,0.1141304347826087,0.5111111111111111,1.07473044070692
seasonality,TJS,15,0,38,0.0,0.9435483870967741,0.3333333333333333,0.5333333333333333,0.5263157894736842,0.5065467330777014,39.070490337527104,16.56597084167692,55.44598989012716,0.07734806629834254,0.5777777777777777,1.0390271126138135
seasonality,UZS,15,1,34,0.0,1.1580752990851513,0.35714285714285715,0.21428571428571427,0.5294117647058824,0.45242104898302016,31.573194014071476,71.47179610241047,37.6495715712083,0.07734806629834254,0.6222222222222222,1.170174919791921
